TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,6174.845598638058,209661,30,0,"(640, 360)",270.25980123766436,666804.0,70.0,418.6068759967989,6174.845598638058,410.9755032568554,8.362975870967736
6174.845598638058,1,1543.6046421527863,848152,15,2,"(1280, 720)",4326.657675667231,666804.0,83.93829311827956,0.0,3080.562468627959,4339.125326425163,15.33924605106381
7718.450240790844,2,6403.220474720001,562024,23,0,"(640, 360)",701.827514522183,105608.0,95.56541008510635,2736.754904439046,6403.220474720001,5428.682734230573,14.17174370067204
14121.670715510845,3,1000.0,383386,15,1,"(854, 480)",3064.020915064021,130168.0,95.9426216875,0.0,4652.946768861257,2571.670308609886,13.53389725148937
15121.670715510845,4,1000.0,176925,19,0,"(640, 360)",1413.9846014139846,747852.0,96.81739710000001,0.0,5315.786552177718,329.0290085541834,14.711322911250006
16121.670715510845,5,1000.0,333130,15,1,"(854, 480)",2662.374962662375,747852.0,98.84264180000001,0.0,2656.5085370739107,3745.8968549082338,13.431249309999997
17121.670715510845,6,1000.0,114580,19,0,"(640, 360)",915.7233609157233,36840.0,96.8549817,817.451549140224,1000.0,3620.568032458998,14.553359883333343
18121.670715510845,7,5708.8271379470825,936912,15,0,"(640, 360)",1306.0118430296743,36840.0,98.57856383333333,5080.295787287521,5708.8271379470825,6671.800284058069,13.828409693953509
23830.497853457928,8,1000.0,503896,16,2,"(1280, 720)",4027.1368360271367,1258700.0,97.52317977325585,0.0,6230.224662621106,501.40052602308987,15.174045550000002
24830.497853457928,9,1000.0,643509,15,2,"(1280, 720)",5142.9239331429235,1258700.0,96.80903656666666,0.0,6444.705268423837,789.04403538901,13.809131522674427
25830.497853457928,10,1841.5586352348328,1521689,15,2,"(1280, 720)",6515.003465281624,905036.0,97.60241583333335,0.0,5297.977553153467,2812.6801905951806,15.078403707619042
27672.05648869276,11,1134.0415179729462,621558,15,1,"(854, 480)",4383.079998730683,643472.0,99.59884560714285,0.0,5498.3136450244465,937.4595442740379,15.144370540196071
28806.098006665707,12,1000.0,507093,16,1,"(854, 480)",4052.687260052687,1160384.0,99.84102020588234,0.0,5969.8882781649645,540.0047098746259,14.867092399285713
29806.098006665707,13,1000.0,942769,15,2,"(1280, 720)",7534.60985553461,1160384.0,99.71162826666666,0.0,1257.8256528725642,5352.303515761616,14.920982889215672
30806.098006665707,14,1000.0,228338,15,0,"(640, 360)",1824.8772978248774,83504.0,99.84007463333334,758.6754993127286,1000.0,2084.2836572758097,14.945993553333327
