TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,5499.406091868877,135023,33,0,"(640, 360)",196.20067619579382,622150.6891675,70.0,314.17619084395113,5499.406091868877,308.4486317525325,3.899788505454552
5499.406091868877,1,1483.299732208252,181544,30,2,"(1280, 720)",967.2661108676513,622150.6891675,76.49964750909092,0.0,6568.89011321796,387.15862040453675,11.194589959999991
6982.705824077129,2,3645.220011472702,1190002,20,2,"(1280, 720)",2593.771634593772,622150.6891675,88.65764993333332,0.0,7970.853227291071,2093.392745552811,14.646802209090925
10627.925835549831,3,2119.502007961273,1188944,15,2,"(1280, 720)",4454.081047301554,622150.6891675,95.49461160000003,0.0,7987.145564384832,1966.626758576496,13.946712256666661
12747.427843511105,4,1282.3730409145355,768956,15,2,"(1280, 720)",4727.305980707,704115.34116,96.35412874999999,0.0,8009.566206948046,1229.5664433153177,13.690809593846158
14029.80088442564,5,2317.71457195282,1621564,15,2,"(1280, 720)",5554.088357554087,704115.34116,97.06711792307694,0.0,7886.514292994223,2498.5419160243137,14.073885836428575
16347.51545637846,6,1121.123194694519,560876,16,2,"(1280, 720)",3955.1648878593314,706663.504095,97.84883118571429,0.0,8129.238186505325,915.469478828943,13.558361931221715
17468.63865107298,7,1000.0,481076,17,2,"(1280, 720)",3844.7593958447596,706663.504095,97.10845620588235,0.0,8403.209084485503,796.6588038723015,14.2360515857143
18468.63865107298,8,5538.208335638046,3080059,15,2,"(1280, 720)",4448.64441713042,704795.9027900001,97.22555919999998,0.0,9188.753003350843,4979.055816537522,13.852676787207649
24006.846986711025,9,1000.0,220163,23,2,"(1280, 720)",1759.5426977595425,595580.80607125,96.5115588373494,0.0,9721.731688755035,469.11684855079915,14.64827134999998
25006.846986711025,10,3639.098137617111,2828593,15,2,"(1280, 720)",6165.304166892577,595580.80607125,95.1545757,0.0,8045.411941004251,5003.058220435282,14.934217050810506
28645.945124328136,11,3071.8704760074615,2748236,15,2,"(1280, 720)",7085.129948957544,609632.20164625,99.30895489090908,0.0,6472.314117734892,4663.644167932537,15.449349159032256
31717.815600335598,12,1000.0,755134,15,2,"(1280, 720)",6035.030934035031,639074.07582375,99.9413445483871,0.0,6176.904152456173,1323.7961807670965,14.827352310909088
32717.815600335598,13,1000.0,566161,17,2,"(1280, 720)",4524.758716524759,639074.07582375,99.59707966666666,0.0,6096.677413028798,1012.1915242413651,15.134992148387084
33717.8156003356,14,5637.3293697834015,3652701,15,2,"(1280, 720)",5182.080705490292,661643.16738125,99.61270480000002,0.0,6034.505892721711,5891.083447669144,15.205817341222875
39355.144970119,15,3152.208536863327,2065098,15,2,"(1280, 720)",5211.871777633992,661675.62105625,98.78252465088757,0.0,5423.182307499376,3655.21219534008,15.498509231578957
42507.35350698233,16,1000.0,334744,15,1,"(854, 480)",2675.274050675274,591736.9201125,98.22839113684212,0.0,5765.511226928723,675.4708812087767,15.27674428422091
43507.35350698233,17,1961.1468017101288,1624146,15,2,"(1280, 720)",6600.089910013791,591736.9201125,97.01156073333331,0.0,4462.162760943631,2991.0229529936196,15.067399632078494
45468.500308692455,18,1061.5379214286804,147846,23,0,"(640, 360)",1107.7365710935494,586748.56517625,99.81706457627118,0.0,5203.296622002919,345.23689644525103,14.344212145416666
46530.038230121136,19,1000.0,264642,22,1,"(854, 480)",2115.0188661150187,586748.56517625,98.40894703125,0.0,5607.464125030526,554.7698466584427,16.091246026271186
47530.038230121136,20,1570.0345933437347,314959,24,2,"(1280, 720)",1573.2198136615714,586748.56517625,97.45163709999999,0.0,6535.860096753184,645.0434129311911,15.590287927083324
49100.07282346487,21,1000.0,604026,16,2,"(1280, 720)",4827.375796827376,586442.4257575001,95.63731820833334,0.0,6301.603333443475,1164.1931179927626,14.826571010000006
50100.07282346487,22,1000.0,643141,16,2,"(1280, 720)",5139.9828771399825,586442.4257575001,99.28622453333334,0.0,6062.145473323957,1234.4023702605239,15.275327219166666
51100.07282346487,23,1000.0,918199,15,2,"(1280, 720)",7338.246415338246,586442.4257575001,99.73176506666667,0.0,5272.20434896558,1728.1162015341004,14.966259606666664
52100.07282346487,24,1424.5593547821045,401067,21,1,"(854, 480)",2236.275132983172,586442.4257575001,99.82480343333333,0.0,5809.44539954281,849.818750799905,15.408163729457378
53524.632178246975,25,1000.0,784123,15,2,"(1280, 720)",6266.711022266712,546229.9031437499,98.64720267441858,0.0,5192.273670642127,1591.0718523986245,15.143404666666655
54524.632178246975,26,4685.597121715546,3020113,15,1,"(854, 480)",5135.476932134959,546229.9031437499,99.36279753333335,1342.899687677208,4685.597121715546,6486.687665025521,15.098577745324095
59210.22929996252,27,5616.21367931366,1589684,15,0,"(640, 360)",2255.2819911146926,460706.44599875,99.93883002127659,0.0,6397.664425237483,3712.1427526801062,15.042490485719929
64826.44297927618,28,1000.0,1017892,15,2,"(1280, 720)",8134.9928721349925,460706.44599875,99.96461706508877,0.0,5199.9798700578485,2385.7236647018453,15.027143954609919
65826.44297927618,29,1000.0,583894,15,1,"(854, 480)",4666.48085266648,465146.74595375,99.82337213333334,0.0,4806.021159675223,1401.3577618341708,15.22044823175544
66826.44297927618,30,1000.0,266756,18,0,"(640, 360)",2131.9139541319137,465146.74595375,99.48833766666667,0.0,5165.238876560991,683.6714045971291,14.91425911666667
67826.44297927618,31,1000.0,249295,22,1,"(854, 480)",1992.3656419923655,465146.74595375,99.81822603333333,0.0,5490.80202248009,643.9253309573841,14.962733883333343
68826.44297927618,32,1000.0,556205,20,2,"(1280, 720)",4445.1903644451895,468444.4149525,99.05120756666665,0.0,5236.353820455415,1329.8365412848145,15.035882633333337
69826.44297927618,33,1000.0,416093,23,2,"(1280, 720)",3325.4152593254153,468444.4149525,99.56468679999999,0.0,5295.41026318434,1014.9938169790317,14.651682583333344
70826.44297927618,34,1000.0,455563,15,1,"(854, 480)",3640.859499640859,468444.4149525,99.26133890000001,0.0,5230.542862814719,1103.6860227026616,14.792442399999985
71826.44297927618,35,2115.752547979355,985599,15,1,"(854, 480)",3692.299911635336,468444.4149525,99.54448880000001,0.0,5360.673967944207,2135.2261174904056,14.63595795468752
73942.19552725554,36,1000.0,665032,15,1,"(854, 480)",5314.9357493149355,574357.94761125,99.25076189062499,0.0,5133.9935399162005,1298.8108254128992,14.914236919999999
74942.19552725554,37,2673.931509256363,1922532,15,1,"(854, 480)",5690.69409402365,574357.94761125,99.781143,0.0,4103.711526553498,3790.2607955595995,15.033402040567132
77616.1270365119,38,1000.0,267433,16,0,"(640, 360)",2137.3245381373245,512459.79274249997,99.93079704938272,0.0,4423.710421800915,629.3278205224649,14.910915979999997
78616.1270365119,39,2324.9157667160034,405496,22,0,"(640, 360)",1388.8817293888817,512459.79274249997,99.81505046666666,0.0,5844.844743332113,912.9197739642357,15.20446011366844
80941.0428032279,40,1000.0,875490,15,2,"(1280, 720)",6996.9160869969155,512459.79274249997,99.45267387142856,0.0,4969.914503899932,1833.4705356933482,14.912812799999998
81941.0428032279,41,1000.0,382512,20,1,"(854, 480)",3057.0359070570357,552143.701705,99.80447533333333,0.0,5095.557269587448,809.2380756729904,14.90990555285715
82941.0428032279,42,2503.3784210681915,470725,28,1,"(854, 480)",1485.0136186056932,552143.701705,99.75862156666668,0.0,6699.857968619026,977.4113051908656,16.265082984649126
85444.4212242961,43,1000.0,399042,24,2,"(1280, 720)",3189.143667189144,552143.701705,97.0787846973684,0.0,6780.10781160254,840.7516109107725,14.901866100000007
86444.4212242961,44,1483.975112438202,740655,21,2,"(1280, 720)",3946.2085298587685,552143.701705,99.71351093333334,0.0,6769.59771224555,1450.0723844231595,15.009476076929833
87928.3963367343,45,1000.0,400417,22,2,"(1280, 720)",3200.132667200133,603646.7400762499,99.52892424444445,0.0,7042.577997561801,778.242119048183,14.959970766666672
88928.3963367343,46,1000.0,219496,31,2,"(1280, 720)",1754.2120337542121,603646.7400762499,99.50708033333333,0.0,7592.951779184094,462.75435898725567,16.968055377777787
89928.3963367343,47,1000.0,458983,23,2,"(1280, 720)",3668.1921396681923,603646.7400762499,95.12173773333333,0.0,7668.443757257024,880.3687718730527,14.770734699999998
90928.3963367343,48,1000.0,906641,15,2,"(1280, 720)",7245.874879245875,603646.7400762499,99.47269126666667,0.0,6930.874045703531,1700.888130645942,15.209887186666677
91928.3963367343,49,3594.3948328495026,1568411,21,2,"(1280, 720)",3481.8720369940766,527892.7714,99.53676826666668,0.0,7430.048052987049,3207.4513249916063,14.779289641666665
95522.7911695838,50,3189.9405121803284,2027097,15,1,"(854, 480)",5062.67507866345,527892.7714,99.38680325000001,0.0,7071.343872964004,3909.5549212994133,15.008057067083328
98712.73168176413,51,1000.0,684176,19,2,"(1280, 720)",5467.9345974679345,562670.81703625,99.93622315625,0.0,6692.8196279730955,1342.4724015797399,14.936361554999996
99712.73168176413,52,1000.0,513567,21,2,"(1280, 720)",4104.427468104427,581413.41264375,99.79173646666666,0.0,6590.33276680649,1009.7976798421464,15.17157945625
100712.73168176413,53,2332.154780626297,2113700,15,2,"(1280, 720)",7239.724464382581,581413.41264375,99.52928739999999,0.0,5058.195697741065,3749.7080338574974,15.006103609523798
