Method,Network Type,Average VMAF Score,Average VMAF Score,Stall Ratio(%),Stall Ratio(%),Switch Ratio(%),Switch Ratio(%),Average Bitrate(bps),Average Bitrate(bps)
,,mean,std,mean,std,mean,std,mean,std
D-policy-10,Fast,98.3068848713657,0.2630315909527373,1.07125,0.050832357523811225,0.03,0.0,5901.379886874192,275.23482263657553
D-policy-10,Medium,98.04864652161767,0.2851996607805274,1.5166666666666666,1.0958406210150575,0.11333333333333333,0.12971764207950537,5390.804955755646,745.2636900358141
D-policy-10,Slow,97.3604446128893,1.005985063357206,2.994285714285714,3.452954566468438,0.2,0.07505553499465135,2461.5107215668763,793.0389008319704
D-policy-15,Fast,98.16914053749353,0.30951892651691715,1.065,0.09999999999999991,0.0325,0.004629100498862758,5758.781771332337,435.8881566975505
D-policy-15,Medium,98.11526216458559,0.28761992939965203,1.2783333333333333,0.5226630527085943,0.07833333333333334,0.09108603991099111,5332.2787018246945,820.3457593563103
D-policy-15,Slow,97.1745225430401,1.2240613002353864,2.6185714285714283,3.9920480481887513,0.25285714285714284,0.08056349167256958,2684.087715460081,895.5908982098705
D-policy-5,Fast,98.23415941953233,0.14558840449691882,1.09625,0.11867572865345538,0.03375,0.005175491695067659,5877.263876214857,238.8864884806647
D-policy-5,Medium,98.16749862371852,0.32937656785388736,1.45,0.9412332335824103,0.09666666666666666,0.10405126941400891,5447.958569190288,910.0605660938722
D-policy-5,Slow,97.4881358017925,0.6322549010882136,2.2728571428571427,2.4157035847810073,0.21,0.04864839839775475,2489.4936184422527,989.1607631284041
N-policy-3,Fast,98.28643484933855,0.3041304317167249,1.07375,0.05629958132298011,0.03,0.0,5861.58549919864,205.84756511475175
N-policy-3,Medium,98.46023436089877,0.15994309483223867,1.1,0.06418722614352482,0.09166666666666666,0.09368386556214824,5486.5890538539325,856.1701078656808
N-policy-3,Slow,97.13728140663821,0.6884563795360396,2.5471428571428576,3.776593325055948,0.21285714285714286,0.043479606604432265,2563.6369335137383,981.2986119413241
N-policy-5,Fast,98.32096924827367,0.13150322734521888,1.11375,0.06906260100186533,0.0325,0.004629100498862758,5780.880907026034,452.90141367688193
N-policy-5,Medium,98.18469180666663,0.28058962720192626,1.2266666666666668,0.5440465666343891,0.085,0.08803408430829505,5511.720595842316,891.0403752733806
N-policy-5,Slow,97.48007854048919,0.4804700296280311,2.422857142857143,3.6813299874081475,0.19999999999999998,0.033665016461206926,2578.5601551680566,937.413325243391
N-policy-7,Fast,98.39030359490852,0.3126825147805219,1.06,0.10488088481701512,0.0325,0.004629100498862758,5929.915603353306,398.2239072849578
N-policy-7,Medium,98.27623084086922,0.3169264602532852,1.3233333333333333,0.6436355076179892,0.09333333333333334,0.09892758294159756,5482.649745806601,937.549002031987
N-policy-7,Slow,97.59889531188234,0.5560017491642955,2.2342857142857144,2.1916649465863247,0.26857142857142857,0.06283008075451636,2637.9676639643794,959.7286977441336
"pq(20, 30)",Fast,98.1992265549549,0.16792540541917134,1.09,0.1396935421352244,0.28875,0.046425824094539686,4973.234520715574,384.9990918323275
"pq(20, 30)",Medium,98.11424489839744,0.2909966433789531,1.4783333333333333,0.8968481848488442,0.27166666666666667,0.029944392908634272,4511.255199717295,587.7924098431538
"pq(20, 30)",Slow,97.32520977308079,0.8772608975511422,3.1214285714285714,4.259551731389226,0.23428571428571426,0.07870983480631943,2540.99375874178,966.872740926334
"pq(30, 40)",Fast,98.29766224009191,0.2765905933427593,1.055,0.08451542547285164,0.04625,0.0459619407771256,5813.643409985878,313.3037855794291
"pq(30, 40)",Medium,98.07838014029848,0.6284237022939365,1.11,0.094233751915118,0.10333333333333332,0.1163901484949077,5389.6579345800765,834.2303650539244
"pq(30, 40)",Slow,97.64828546661677,0.49427171146305765,4.63,7.817851367223605,0.1842857142857143,0.03909694909544002,2521.795490774545,959.1679511888558
"pq(40, 50)",Fast,98.24707836179556,0.3874729516471338,1.08875,0.08919280880686034,0.0325,0.004629100498862758,5967.591411987472,220.36189442604282
"pq(40, 50)",Medium,98.29524260662782,0.3431118897710635,1.0483333333333333,0.1463443427901013,0.09500000000000001,0.10193134944657606,5642.927677245108,1067.3189270507755
"pq(40, 50)",Slow,97.40053320441862,0.6644670684251309,2.59,3.4376639354848706,0.20142857142857146,0.06542898731412845,2577.358651754798,975.3974972993103
