TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,23585,30,0,"(640, 360)",188.68,2182860.0,70.0,93.0700011018452,1000.0,91.37329732070481,7.165722174999999,"[188.68, 275.184, 510.344, 978.28]"
1000.0,1,1000.0,12604,37,0,"(640, 360)",100.832,2182860.0,81.94287029166667,0.0,1907.9952853428767,86.07797495993908,6.542053979166667,"[100.832, 150.592, 290.76, 552.536]"
2000.0,2,1000.0,38077,27,0,"(640, 360)",304.616,2182860.0,56.915892041666666,0.0,2802.591941659104,98.36171473735327,9.778524270833337,"[304.616, 451.416, 816.656, 1617.528]"
3000.0,3,1000.0,21576,40,0,"(640, 360)",172.608,2182860.0,88.28801883333334,0.0,3705.9088117782476,90.4045055328186,1.2590944375,"[172.608, 254.984, 503.536, 955.256]"
4000.0,4,2050.2994060516357,44300,40,0,"(640, 360)",170.11202721792432,2182860.0,41.31359520833333,0.0,5652.34066378502,101.36260637300074,31.499282813333334,"[170.11202721792432, 257.8867612618818, 513.9840822374531, 975.8209561313529]"
6050.299406051636,5,1000.0,24210,40,0,"(640, 360)",193.68,2182860.0,43.57747204000001,0.0,6562.785829484515,91.67468849413879,-11.133434395833326,"[193.68, 285.744, 545.72, 1031.416]"
7050.299406051636,6,1000.0,65868,27,0,"(640, 360)",526.944,2182860.0,46.66320854166668,0.0,7455.548213628712,111.76325409879941,16.296910671,"[526.944, 785.92, 1339.608, 2682.352]"
8050.299406051636,7,2159.017115831375,80530,33,0,"(640, 360)",297.34149271669344,2182860.0,92.757763125,0.0,9506.267162518496,118.8336499146219,7.071225838141009,"[297.34149271669344, 438.963624774827, 800.4626460826698, 1553.2871456481316]"
10209.31652188301,8,1000.0,24883,40,1,"(854, 480)",199.064,2182860.0,77.89591115384613,0.0,10418.451025018898,91.9992265096925,29.253053416666663,"[139.184, 199.064, 384.68, 726.328]"
11209.31652188301,9,2580.6791484355927,192696,34,1,"(854, 480)",596.7360769982034,2182860.0,57.00941941666667,0.0,12826.979618738002,172.92299768965583,3.957763355583137,"[395.61605104723236, 596.7360769982034, 1111.0019498067034, 2108.649562406395]"
13789.995670318604,10,1241.6589856147766,43573,39,1,"(854, 480)",278.8672,2182860.0,77.91225745161292,0.0,13961.320016908363,101.01202816006234,1.6106640983333316,"[184.9536, 278.8672, 529.9136, 998.1888]"
15031.65465593338,11,3125.2088844776154,27643,40,1,"(854, 480)",69.83494001737475,2182860.0,70.5193434,0.0,16993.57247823535,93.33016993157698,18.143332984507655,"[49.17978429686481, 69.83494001737475, 146.62987930211798, 297.4787055285573]"
18156.863540410995,12,1628.355473279953,45962,40,2,"(1280, 720)",220.61755587648884,2182860.0,49.53784893421052,0.0,18521.95459396269,102.1640657813964,0.32103294999998583,"[76.51198469760307, 112.99677740064452, 220.61755587648884, 418.9247162150568]"
19785.21901369095,13,3532.090872526169,101906,40,2,"(1280, 720)",230.1876489235154,2182860.0,70.62161214999998,0.0,21916.22339895506,129.14171027194163,2.4805562359906994,"[78.02879265611364, 117.52205952733557, 230.1876489235154, 445.38800513995244]"
23317.309886217117,14,1736.77197098732,26634,40,2,"(1280, 720)",121.75542857142857,2182860.0,70.72390188235292,0.0,23563.1711112201,92.84360402118514,2.9040726278571585,"[46.61942857142857, 63.606857142857145, 121.75542857142857, 223.17257142857142]"
25054.081857204437,15,1000.0,74636,32,3,"(1920, 1080)",597.088,2182860.0,74.9437230714286,0.0,24443.742367737555,115.99141059267006,12.660401711764695,"[123.552, 169.384, 326.896, 597.088]"
26054.081857204437,16,1000.0,190327,31,3,"(1920, 1080)",1522.616,2182860.0,91.22131983333331,0.0,25276.488472740784,171.78060458587166,13.826536442857128,"[276.12, 395.424, 795.792, 1522.616]"
27054.081857204437,17,1000.0,217819,29,3,"(1920, 1080)",1742.552,2182860.0,93.86818124999998,0.0,26074.532302872987,185.03795840994695,12.928725891666657,"[332.568, 475.848, 894.504, 1742.552]"
28054.081857204437,18,1000.0,229060,32,3,"(1920, 1080)",1832.48,2182860.0,95.08476312499998,0.0,26897.77330502461,190.45865949886124,12.613751224999989,"[350.24, 511.064, 974.28, 1832.48]"
29054.081857204437,19,6696.265757083893,497755,40,3,"(1920, 1080)",593.5960543401766,2182860.0,95.00094891666664,0.0,33250.32089010958,320.030341652212,22.129977420031032,"[97.97009182460084, 149.72423104219783, 305.2859779024089, 593.5960543401766]"
35750.34761428833,20,1000.0,116073,40,3,"(1920, 1080)",928.584,2182860.0,75.9095714099379,0.0,34118.04140608792,132.98141190212752,19.72029197916664,"[167.736, 253.264, 494.144, 928.584]"
36750.34761428833,21,3071.5958178043365,311798,34,3,"(1920, 1080)",808.9894928637289,2867040.0,80.56131387500001,0.0,36983.45681475694,194.47640111495883,11.870651261708907,"[157.5853143335475, 226.51591638009904, 429.1148572016061, 808.9894928637289]"
39821.94343209267,22,2992.4119114875793,535722,28,3,"(1920, 1080)",1428.592,2867040.0,90.76934733783783,0.0,39698.0456145279,276.68992924299704,14.098940554166672,"[263.2853333333333, 396.1306666666667, 712.1866666666666, 1428.592]"
42814.355343580246,23,1489.2338514328003,197690,40,3,"(1920, 1080)",1054.3466666666668,2867040.0,95.25845323611112,0.0,41029.238981391274,152.5817347655091,16.37340968506006,"[171.472, 257.36, 514.48, 1054.3466666666668]"
44303.589195013046,24,1000.0,133723,40,3,"(1920, 1080)",1069.784,2867040.0,78.79187530555554,0.0,41894.44611072366,129.0962988418644,22.149712048611136,"[165.76, 259.392, 524.616, 1069.784]"
45303.589195013046,25,1000.0,118034,40,3,"(1920, 1080)",944.272,2867040.0,76.21748237499997,0.0,42769.086816266084,123.33609429567557,11.056807263888878,"[130.352, 213.856, 461.2, 944.272]"
46303.589195013046,26,1000.0,124850,40,3,"(1920, 1080)",998.8,2867040.0,65.47013608333332,0.0,43642.30763384707,125.83858356757455,7.106238208333302,"[152.64, 242.048, 510.448, 998.8]"
47303.589195013046,27,2032.7368378639221,349498,31,3,"(1920, 1080)",1369.4613274348853,2867040.0,68.22248833333335,0.0,45455.95168977152,208.31792775090244,16.02885080391158,"[284.22656584056074, 401.3543834523456, 735.301104440636, 1369.4613274348853]"
49336.32603287697,28,1000.0,117580,36,3,"(1920, 1080)",940.64,2867040.0,95.95977402040819,0.0,46342.49030662062,123.16940853724802,12.917736491666677,"[186.104, 265.064, 504.912, 940.64]"
50336.32603287697,29,2384.9771320819855,396458,30,3,"(1920, 1080)",1312.4125086327574,2867040.0,91.23330887500002,0.0,48503.09911623903,225.55925641997175,13.535384727304752,"[265.0294806855889, 386.062291577615, 692.5770079204127, 1312.4125086327574]"
52721.303164958954,30,3153.3272862434387,657482,27,3,"(1920, 1080)",1661.0069830518967,2867040.0,94.84877858620688,0.0,51372.06639706602,303.3929143132275,13.822168675657894,"[305.5629152039037, 470.4201610084041, 844.0723322029124, 1661.0069830518967]"
55874.63045120239,31,2641.662120819092,481073,30,3,"(1920, 1080)",1443.2188195976476,3583800.0,96.57583260526316,0.0,53781.942024992895,221.30047200707278,13.419532628879308,"[295.0289631213796, 426.7139466607567, 756.8309053961368, 1443.2188195976476]"
58516.292572021484,32,2125.4229843616486,130228,40,3,"(1920, 1080)",480.8417721781889,3583800.0,96.5073508125,0.0,55795.81813146074,118.25048977709635,20.82014603795546,"[91.12613982674772, 134.90951770622803, 257.14334505487, 480.8417721781889]"
60641.71555638313,33,1329.0193378925323,412553,33,3,"(1920, 1080)",2475.3186188296545,3583800.0,81.5113731346154,0.0,56938.339634081596,201.17481884856124,13.728120212500006,"[485.8321214580303, 722.4841806210451, 1291.7043229260805, 2475.3186188296545]"
61970.734894275665,34,1000.0,136129,40,3,"(1920, 1080)",1089.032,3583800.0,97.29809215625001,0.0,57822.575949631784,119.9837279453447,6.884539592948727,"[194.84, 297.192, 566.888, 1089.032]"
62970.734894275665,35,1000.0,408577,27,3,"(1920, 1080)",3268.616,3583800.0,79.25366708333334,0.0,58636.58245421385,200.00699052167505,14.891899884374995,"[684.944, 997.448, 1646.488, 3268.616]"
63970.734894275665,36,1000.0,160377,40,3,"(1920, 1080)",1283.016,3583800.0,99.36951516666666,0.0,59516.535532715294,127.10583591072105,9.93696394166667,"[233.632, 353.832, 666.112, 1283.016]"
64970.734894275665,37,2441.3110315799713,348260,40,3,"(1920, 1080)",1133.320831636723,3583800.0,88.10388441666667,0.0,59779.6942477263,182.29071758586153,24.373975539548013,"[193.887483916947, 300.69156619546663, 581.4802144379951, 1133.320831636723]"
67412.04592585564,38,1000.0,110643,38,3,"(1920, 1080)",885.144,2867040.0,79.99107925423729,0.0,59649.359267063504,120.62249420638487,10.107786770833336,"[179.864, 258.696, 480.192, 885.144]"
68412.04592585564,39,3854.8284769058228,1150653,27,3,"(1920, 1080)",2375.5416774193545,3583800.0,85.99219529166668,0.0,59590.40250897598,417.9691065937068,16.522020048769825,"[473.80645161290323, 714.0872258064517, 1226.811870967742, 2375.5416774193545]"
72266.87440276146,40,1000.0,124429,40,3,"(1920, 1080)",995.432,4365720.0,99.20187995698926,0.0,59977.91363844293,110.00144185537371,9.054627250000017,"[182.072, 270.608, 525.52, 995.432]"
73266.87440276146,41,5602.067440748215,1055352,35,3,"(1920, 1080)",1500.9450666666667,4398300.0,83.87513608333332,0.0,59720.64479185878,332.57414048729356,18.304395823655923,"[281.9313777777778, 418.03093333333334, 808.7864888888888, 1500.9450666666667]"
78868.94184350967,42,1000.0,44185,40,3,"(1920, 1080)",353.48,2899620.0,91.79496826666667,0.0,59632.30161772357,96.04021434387592,12.793376562499972,"[67.24, 93.224, 181.776, 353.48]"
79868.94184350967,43,4753.017395734787,351515,36,3,"(1920, 1080)",586.877176565066,3648960.0,72.16351904166669,0.0,59686.87096907638,181.4030818298047,12.613314184057984,"[106.99240994835408, 154.52826751107702, 308.9530219858767, 586.877176565066]"
84621.95923924446,44,1000.0,122421,39,3,"(1920, 1080)",979.368,3583800.0,88.36330816521738,0.0,59567.36200187575,115.95742243604994,4.099301695833333,"[166.728, 251.624, 504.408, 979.368]"
85621.95923924446,45,1144.2151367664337,272342,34,3,"(1920, 1080)",1867.4874664321526,2964780.0,77.192756,0.0,59546.51300312692,176.6937814858722,14.612701283478254,"[368.276466206724, 536.6535609561255, 989.8214314795911, 1867.4874664321526]"
86766.1743760109,46,1000.0,116105,40,3,"(1920, 1080)",928.84,2932200.0,97.41505349999998,0.0,59928.2844508325,121.68057754371605,4.481477424999994,"[166.776, 245.32, 482.304, 928.84]"
