TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,2154.9938023090363,51644,29,0,"(640, 360)",190.6855091253063,10250000.0,70.0,86.1364137439016,2154.9938023090363,85.30362002567394,8.283407947229826,"[190.6855091253063, 284.7248792730955, 553.4103763984036, 1083.736448655931]"
2154.9938023090363,1,1000.0,24083,34,0,"(640, 360)",192.664,10250000.0,84.23636198076922,0.0,3068.9711081490473,82.47322207958922,0.08090197916666142,"[192.664, 280.6, 521.416, 981.944]"
3154.9938023090363,2,3158.351868391037,63934,40,0,"(640, 360)",161.517456682373,10250000.0,69.83819604166668,0.0,6138.978067813089,86.56575096277278,27.963497086032376,"[161.517456682373, 248.24081597465096, 493.35405333115233, 945.3194794400548]"
6313.345670700073,3,1000.0,23700,40,0,"(640, 360)",189.6,10250000.0,42.54572978947368,0.0,7055.804199140604,82.43388960205391,10.947743125000013,"[189.6, 278.336, 537.208, 1014.632]"
7313.345670700073,4,1000.0,34724,34,0,"(640, 360)",277.792,10250000.0,47.78090583333333,0.0,7973.5141641637165,83.56600770218229,4.408552821052627,"[277.792, 398.36, 756.032, 1477.448]"
8313.345670700073,5,2914.585202932358,54953,39,0,"(640, 360)",150.7282113453473,10250000.0,72.77187633333332,0.0,10799.956952035242,85.64344030808729,-7.948746366190472,"[150.7282113453473, 228.53757388142014, 446.4438346921332, 856.6874449500064]"
11227.930873632431,6,1000.0,37527,40,1,"(854, 480)",300.216,10250000.0,53.048907028571435,0.0,11717.149798805958,83.85386392811297,9.363065645833327,"[201.264, 300.216, 568.248, 1070.72]"
12227.930873632431,7,1000.0,44769,40,1,"(854, 480)",358.152,10250000.0,56.817621374999995,0.0,12625.923602080284,84.5975866495507,-6.364564742261901,"[227.064, 358.152, 719.296, 1423.4]"
13227.930873632431,8,1000.0,43882,40,1,"(854, 480)",351.056,10250000.0,48.82694354166667,0.0,13533.580603575809,84.50649550706034,-3.7342598125000066,"[222.792, 351.056, 695.248, 1359.344]"
14227.930873632431,9,3992.974042892456,45336,40,1,"(854, 480)",90.672,10250000.0,51.103762375,0.0,17443.872301967873,84.65581514762516,-7.713300429166671,"[60.454, 90.672, 180.222, 348.626]"
18220.904916524887,10,1000.0,96066,26,2,"(1280, 720)",768.528,10250000.0,53.61565654166666,0.0,18348.763523283924,89.86557124518613,17.37485826249999,"[313.8, 456.528, 768.528, 1486.592]"
19220.904916524887,11,3190.676510334015,248601,30,2,"(1280, 720)",619.8882721961842,10250000.0,95.80872416666665,0.0,21433.299906307377,105.53026957637996,16.060065600378767,"[235.46682965889138, 342.32855504712256, 619.8882721961842, 1193.0232927816407]"
22411.581426858902,12,3848.1202721595764,67448,40,2,"(1280, 720)",139.24748387096773,10250000.0,94.03605209090905,0.0,25193.310577796372,86.92662387676508,24.19408918279568,"[48.55948387096774, 68.01548387096774, 139.24748387096773, 267.97212903225807]"
26259.70169901848,13,5407.22131729126,556350,37,3,"(1920, 1080)",821.6861032808551,10250000.0,73.22926996774194,0.0,30451.724285928318,137.13478818998715,17.295931233216763,"[141.9869451084957, 209.4970948001788, 429.2706197371926, 821.6861032808551]"
31666.923016309738,14,5775.874853134155,502962,40,3,"(1920, 1080)",694.7388377128726,10250000.0,83.48024171538458,0.0,36107.24187021032,131.65206675224647,4.7446203672545835,"[117.57858316094485, 176.9715006059568, 362.96423810277764, 694.7388377128726]"
37442.79786944389,15,1000.0,53770,40,3,"(1920, 1080)",430.16,10250000.0,78.4459122733813,0.0,37028.781820568984,85.52195121951219,10.181736527884574,"[88.424, 126.016, 230.952, 430.16]"
38442.79786944389,16,10000.0,2631412,28,3,"(1920, 1080)",2105.1296,10250000.0,76.59701037500001,0.0,46712.154204337894,350.23486521181,15.23768486516188,"[420.0168, 621.612, 1094.052, 2105.1296]"
48442.79786944389,17,3186.1956119537354,239608,39,3,"(1920, 1080)",597.4641659703029,10250000.0,96.80379348750002,0.0,49786.78423507194,104.60672657252888,7.201226352110392,"[109.27294641796846, 161.98817267409586, 316.85738356959826, 597.4641659703029]"
51628.99348139763,18,5169.456630945206,498613,35,3,"(1920, 1080)",765.8696170156555,10250000.0,83.10154564935065,0.0,54817.73628720223,131.2054428754814,16.91462143950001,"[141.59002506176162, 209.76538942498493, 402.5165057610564, 765.8696170156555]"
56798.450112342834,19,1000.0,166453,31,3,"(1920, 1080)",1331.624,10250000.0,89.77834409600001,0.0,55713.45707599614,97.09401797175866,13.497977035064947,"[269.816, 393.216, 710.888, 1331.624]"
57798.450112342834,20,4533.7784588336945,649184,36,3,"(1920, 1080)",1143.5166867143714,10250000.0,94.68021933333335,0.0,59586.52744633724,146.66844672657254,10.143010071133961,"[211.37613127514632, 319.4703618737349, 604.7242124973055, 1143.5166867143714]"
62332.22857117653,21,4309.62061882019,3839343,19,3,"(1920, 1080)",7088.01839138603,11000000.0,90.20140746788994,0.0,59921.97803838038,447.40124401913874,15.509139412820513,"[1296.385945875842, 2331.9177178398245, 3667.1652051665546, 7088.01839138603]"
66641.84918999672,22,1240.1456832885742,125339,40,3,"(1920, 1080)",802.1696,15125000.0,99.96193557692308,0.0,59572.15596745791,90.66625863197461,16.14020570122326,"[139.8528, 207.95520000000002, 407.296, 802.1696]"
67881.9948732853,23,1000.0,100732,40,3,"(1920, 1080)",805.856,15125000.0,78.12240353333335,0.0,59980.26367963709,87.01049151805132,25.742227576923078,"[156.792, 227.792, 430.984, 805.856]"
68881.9948732853,24,3293.000102043152,334958,40,3,"(1920, 1080)",803.899280389928,11625000.0,78.43941600000001,0.0,59671.35684933579,110.33009620826259,5.465692374166666,"[143.63761436376146, 214.30322143032214, 426.99604269960423, 803.899280389928]"
72174.99497532845,25,1000.0,325290,28,3,"(1920, 1080)",2602.32,2875000.0,80.4632212125,0.0,59966.68589997651,199.09931350114417,16.946276875000006,"[551.624, 801.888, 1367.392, 2602.32]"
73174.99497532845,26,3401.5596956014633,3749386,15,3,"(1920, 1080)",8779.049289848848,2375000.0,99.65036412500001,0.0,59547.75972717452,1421.9097564513281,16.926479820213412,"[1413.583471845515, 2800.9050925946253, 4740.91739113001, 8779.049289848848]"
