TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,2745.71493268013,4957,40,0,"(640, 360)",14.31916101328935,1433520.0,70.0,84.45646913073158,2745.71493268013,83.63991764108077,9.984463672125813,"[14.31916101328935, 16.066809270912923, 20.76668318025764, 29.906450266408036]"
2745.71493268013,1,1400.3848731517792,3546,40,0,"(640, 360)",20.24260008377331,1433520.0,87.06305513253001,0.0,4059.940890524458,82.603822464247,10.133016185714325,"[20.24260008377331, 22.868543693061444, 28.171808069210744, 40.136977210662764]"
4146.099805831909,2,3294.666290283203,258713,19,0,"(640, 360)",626.5559048019512,1433520.0,86.88836030952388,0.0,7079.085955721168,269.97256660821654,14.910975056443956,"[626.5559048019512, 1118.4998772440797, 1813.990421102757, 3539.533612266268]"
7440.766096115112,3,2217.7035808563232,16962,40,0,"(640, 360)",60.69864092765645,1433520.0,97.6954676161616,0.0,9203.504429028137,92.45517107686342,22.544332914001473,"[60.69864092765645, 95.66423581647446, 201.44849029486454, 402.63574955637694]"
9658.469676971436,4,2641.0151720046997,25652,40,1,"(854, 480)",76.87904407687904,1433520.0,58.688054791044806,0.0,11747.192510318084,98.83622500080773,31.577969734911594,"[46.12083304612083, 76.87904407687904, 175.27954517527954, 365.7059283657059]"
12299.484848976135,5,1000.0,36436,36,1,"(854, 480)",291.1965122911965,1433520.0,62.2349957625,0.0,12637.322628054784,106.75489997385898,3.5796642408955197,"[199.23256819923256, 291.1965122911965, 541.2981605412981, 982.3286889823287]"
13299.484848976135,6,1000.0,32731,34,1,"(854, 480)",261.5861522615861,1433520.0,74.08078286666667,0.0,13534.58691846358,104.03432404886316,8.221235263749998,"[180.1956241801956, 261.5861522615861, 477.1543684771543, 859.3238168593238]"
14299.484848976135,7,2450.8352875709534,137067,31,1,"(854, 480)",444.0970444722364,1433520.0,82.4078914,0.0,15790.619505176524,180.6480918519302,11.339288429549528,"[304.0577756753779, 444.0970444722364, 773.1902981447761, 1417.5128465989721]"
16750.32013654709,8,7588.452160358429,424227,37,2,"(1280, 720)",446.10815909547387,1433520.0,89.57894452702699,0.0,22951.25676606453,391.50924775524953,7.334130231052653,"[150.7459374878411, 227.7456987794324, 446.10815909547387, 804.0729753688677]"
24338.772296905518,9,1871.5873062610626,105106,40,3,"(1920, 1080)",442.10900456490396,1433520.0,84.29153228508775,0.0,24669.32900792485,157.17917764442916,12.793067588430503,"[78.5739748946055, 119.66126540694526, 219.47713394275834, 442.10900456490396]"
26210.35960316658,10,3190.4927790164948,420887,31,3,"(1920, 1080)",1051.165349183302,1433520.0,83.57175387719298,0.0,27475.120454356205,363.4933124988374,13.670520602741226,"[213.9458535721901, 307.54466700986484, 567.7916760192845, 1051.165349183302]"
29400.852382183075,11,4496.8739449977875,580741,36,3,"(1920, 1080)",1031.3959025464508,2150280.0,95.16612305208334,0.0,31605.597669688064,364.2914949632019,11.13586536339182,"[193.1968107483508, 288.0174403180816, 550.9897313911296, 1031.3959025464508]"
33897.72632718086,12,3977.3413240909576,555992,39,3,"(1920, 1080)",1110.872017110872,2150280.0,90.8217345851852,0.0,35225.970201378645,352.1760593234859,15.644764135416686,"[204.36143420436144, 306.698994306699, 591.9174905919174, 1110.872017110872]"
37875.06765127182,13,1000.0,184071,37,3,"(1920, 1080)",1471.0954334710952,2150280.0,89.0427178333333,0.0,36041.38195718419,170.1087055492406,11.794683481481494,"[263.743992263744, 393.8297763938298, 765.9852487659853, 1471.0954334710952]"
38875.06765127182,14,1000.0,157074,35,3,"(1920, 1080)",1255.3354092553354,2150280.0,93.12809490000002,0.0,36897.94942684423,156.89280123127173,12.567054076666675,"[261.99374426199375, 372.5071203725071, 688.326984688327, 1255.3354092553354]"
39875.06765127182,15,3995.801091194153,896140,32,3,"(1920, 1080)",1790.4877217904877,2150280.0,94.11887643333334,0.0,40320.054621225914,625.3321623719995,14.370587500000001,"[334.01365233401367, 489.2662444892662, 940.1708889401709, 1790.4877217904877]"
43870.86874246597,16,2710.1928293704987,441670,40,3,"(1920, 1080)",1291.4001803317094,1433520.0,97.80566165,0.0,42664.72666497677,404.3176164083404,15.868891097967484,"[216.70213726335118, 331.2314126580872, 666.1995731832786, 1291.4001803317094]"
46581.06157183647,17,8047.025412321091,2038052,32,3,"(1920, 1080)",2019.1874884903432,1433520.0,86.49997067073171,0.0,49435.89382761318,1196.2771457915394,14.589536521776852,"[384.5968558000808, 569.4151676196178, 1059.814550088975, 2019.1874884903432]"
54628.08698415756,18,1000.0,146958,35,3,"(1920, 1080)",1174.4883371744882,2150280.0,98.95017114462809,0.0,50275.500469579325,151.94069217913358,12.12124399292684,"[216.15163221615163, 314.90078431490076, 612.0353526120354, 1174.4883371744882]"
55628.08698415756,19,3096.9574451446533,362668,40,3,"(1920, 1080)",934.9815330009993,2150280.0,92.95206843333335,0.0,53095.86178725148,257.5377111230557,20.813407838176502,"[164.8079357984572, 247.93247275388538, 481.6572314873209, 934.9815330009993]"
58725.044429302216,20,1000.0,97630,40,3,"(1920, 1080)",780.258960780259,2150280.0,86.27352661290317,0.0,53955.835927131295,127.79304139583292,16.54763970000002,"[137.12673613712673, 205.1786162051786, 400.8147844008148, 780.258960780259]"
59725.044429302216,21,1000.0,137762,40,3,"(1920, 1080)",1100.9939051009937,2150280.0,82.80885746666667,0.0,54799.57544917044,147.43895287076444,11.525758358709677,"[208.5752162085752, 302.5131843025132, 586.381032586381, 1100.9939051009937]"
60725.044429302216,22,5282.72819519043,1931776,26,3,"(1920, 1080)",2912.9725812182337,2150280.0,91.92185169999999,0.0,59064.538705589766,1025.666806672913,16.608770604276703,"[583.7477769892589, 896.5953889550177, 1510.8318937365525, 2912.9725812182337]"
