episode,total_reward,average_loss,policy_loss,value_loss,entropy_loss,duration_sec,steps
0,576.8946,0.0000,0.0000,0.0000,0.0000,245.34,39
1,629.0089,0.0000,0.0000,0.0000,0.0000,246.41,39
2,692.3521,0.0000,0.0000,0.0000,0.0000,247.07,39
3,725.8706,0.0000,0.0000,0.0000,0.0000,274.07,45
4,632.6935,-0.2155,-0.0279,1.0713,-1.2589,251.49,40
5,761.9704,-0.2155,-0.0279,1.0713,-1.2589,266.26,45
6,667.5571,-0.2155,-0.0279,1.0713,-1.2589,251.60,39
7,631.7100,-0.2155,-0.0279,1.0713,-1.2589,257.90,41
8,630.6151,-0.2155,-0.0279,1.0713,-1.2589,256.76,41
9,541.4738,1.1775,-0.0565,1.2522,-0.0182,240.39,36
10,621.8817,1.1775,-0.0565,1.2522,-0.0182,250.23,40
11,655.8087,1.1775,-0.0565,1.2522,-0.0182,254.40,41
12,584.5873,1.1775,-0.0565,1.2522,-0.0182,244.99,37
13,616.1384,1.1775,-0.0565,1.2522,-0.0182,253.84,41
14,580.6857,0.8441,-0.0718,0.9341,-0.0182,258.66,40
15,333.1154,0.8441,-0.0718,0.9341,-0.0182,261.45,42
16,574.5456,0.8441,-0.0718,0.9341,-0.0182,239.38,37
17,630.1248,0.8441,-0.0718,0.9341,-0.0182,246.71,40
18,580.6845,0.8441,-0.0718,0.9341,-0.0182,247.39,37
19,616.2871,0.8441,-0.0718,0.9341,-0.0182,258.85,40
20,664.6077,0.9460,-0.0992,1.0633,-0.0182,259.34,42
21,604.8494,0.9460,-0.0992,1.0633,-0.0182,241.33,37
22,540.5788,0.9460,-0.0992,1.0633,-0.0182,247.10,36
23,578.1107,0.9460,-0.0992,1.0633,-0.0182,232.74,36
24,665.1885,0.9460,-0.0992,1.0633,-0.0182,251.59,39
25,523.3955,1.1917,-0.0574,1.2673,-0.0182,233.60,33
26,744.6122,1.1917,-0.0574,1.2673,-0.0182,267.26,47
27,666.2083,1.1917,-0.0574,1.2673,-0.0182,254.37,40
28,592.0482,1.1917,-0.0574,1.2673,-0.0182,250.11,38
29,566.0259,1.1917,-0.0574,1.2673,-0.0182,253.01,38
30,623.8842,0.8557,-0.0679,0.9417,-0.0182,254.30,40
31,601.1678,0.8557,-0.0679,0.9417,-0.0182,247.21,39
32,558.3128,0.8557,-0.0679,0.9417,-0.0182,231.77,34
33,567.4849,0.8557,-0.0679,0.9417,-0.0182,247.28,37
34,513.0584,0.8557,-0.0679,0.9417,-0.0182,250.14,38
35,639.5968,1.0965,-0.0540,1.1687,-0.0182,376.38,40
36,567.5444,1.0965,-0.0540,1.1687,-0.0182,384.42,35
37,690.3318,1.0965,-0.0540,1.1687,-0.0182,438.59,42
38,567.1107,1.0965,-0.0540,1.1687,-0.0182,402.30,36
39,662.4507,1.0965,-0.0540,1.1687,-0.0182,434.07,41
40,646.7289,0.9539,-0.0810,1.0531,-0.0182,436.74,41
41,655.3617,0.9539,-0.0810,1.0531,-0.0182,412.75,38
42,571.7461,0.9539,-0.0810,1.0531,-0.0182,387.90,33
43,676.1473,0.9539,-0.0810,1.0531,-0.0182,422.23,40
44,81.4225,0.9539,-0.0810,1.0531,-0.0182,424.61,39
45,614.1251,0.9539,-0.0810,1.0531,-0.0182,424.08,40
46,633.5860,1.0364,-0.0586,1.1131,-0.0182,424.81,40
47,705.8845,1.0364,-0.0586,1.1131,-0.0182,428.87,41
48,646.7500,1.0364,-0.0586,1.1131,-0.0182,421.47,41
49,645.8020,1.0364,-0.0586,1.1131,-0.0182,437.67,41
50,711.9941,0.7387,0.0462,0.7107,-0.0182,453.44,44
51,590.8931,0.7387,0.0462,0.7107,-0.0182,412.82,37
52,663.1281,0.7387,0.0462,0.7107,-0.0182,422.05,43
53,617.2710,0.7387,0.0462,0.7107,-0.0182,394.62,38
54,666.1459,0.7387,0.0462,0.7107,-0.0182,451.75,44
55,621.8457,0.8850,-0.0302,0.9334,-0.0182,380.38,36
56,581.2573,0.8850,-0.0302,0.9334,-0.0182,403.89,37
57,715.6217,0.8850,-0.0302,0.9334,-0.0182,451.14,42
58,650.8822,0.8850,-0.0302,0.9334,-0.0182,411.15,40
59,538.0925,0.8850,-0.0302,0.9334,-0.0182,402.00,35
60,573.1431,0.8850,-0.0302,0.9334,-0.0182,416.45,37
61,584.2112,1.5145,-0.0468,1.5795,-0.0182,415.32,37
62,418.9822,1.5145,-0.0468,1.5795,-0.0182,608.98,48
63,711.8056,1.5145,-0.0468,1.5795,-0.0182,636.16,44
64,675.3868,1.5145,-0.0468,1.5795,-0.0182,602.77,43
65,617.7385,0.7058,-0.0521,0.7760,-0.0182,587.81,42
66,573.8515,0.7058,-0.0521,0.7760,-0.0182,553.41,36
67,772.3810,0.7058,-0.0521,0.7760,-0.0182,672.83,48
68,727.1636,0.7058,-0.0521,0.7760,-0.0182,618.37,44
69,553.5466,0.7058,-0.0521,0.7760,-0.0182,553.37,35
70,671.3517,1.2184,-0.0859,1.3225,-0.0182,623.70,43
71,581.2580,1.2184,-0.0859,1.3225,-0.0182,567.38,36
72,682.4264,1.2184,-0.0859,1.3225,-0.0182,605.08,41
73,685.7017,1.2184,-0.0859,1.3225,-0.0182,613.50,42
74,889.1618,1.2184,-0.0859,1.3225,-0.0182,704.64,54
75,646.3148,1.8887,-0.0393,1.9461,-0.0182,597.60,41
76,-310.5345,1.8887,-0.0393,1.9461,-0.0182,589.61,42
77,747.1910,1.8887,-0.0393,1.9461,-0.0182,666.87,47
78,323.1522,1.8887,-0.0393,1.9461,-0.0182,620.99,44
79,675.3190,2.0626,-0.0771,2.1579,-0.0182,615.20,44
80,684.4423,2.0626,-0.0771,2.1579,-0.0182,593.29,42
81,621.0255,2.0626,-0.0771,2.1579,-0.0182,556.22,37
82,733.6163,2.0626,-0.0771,2.1579,-0.0182,647.45,47
83,638.9975,2.0626,-0.0771,2.1579,-0.0182,617.64,42
84,596.3609,1.1209,-0.0193,1.1584,-0.0182,584.93,38
85,656.2675,1.1209,-0.0193,1.1584,-0.0182,590.27,40
86,728.1465,1.1209,-0.0193,1.1584,-0.0182,611.95,41
87,668.5739,1.1209,-0.0193,1.1584,-0.0182,638.49,44
88,757.2555,1.1209,-0.0193,1.1584,-0.0182,683.94,48
89,701.1688,1.8751,-0.0600,1.9532,-0.0182,583.29,40
90,721.6018,1.8751,-0.0600,1.9532,-0.0182,681.73,48
91,690.0810,1.8751,-0.0600,1.9532,-0.0182,609.99,41
92,706.1241,1.8751,-0.0600,1.9532,-0.0182,616.34,43
93,635.9792,1.8751,-0.0600,1.9532,-0.0182,595.78,40
94,726.7022,1.3960,-0.0703,1.4844,-0.0182,635.57,45
95,887.7165,1.3960,-0.0703,1.4844,-0.0182,745.76,57
96,714.3154,1.3960,-0.0703,1.4844,-0.0182,565.48,39
97,634.7825,1.3960,-0.0703,1.4844,-0.0182,592.26,40
98,227.0700,1.2437,-0.0361,1.2979,-0.0182,563.58,38
99,723.8170,1.2437,-0.0361,1.2979,-0.0182,568.71,36
100,609.8525,1.2437,-0.0361,1.2979,-0.0182,573.62,37
101,514.6545,1.2437,-0.0361,1.2979,-0.0182,551.56,37
102,656.9763,1.2437,-0.0361,1.2979,-0.0182,584.24,40
103,753.7523,0.8976,-0.0249,0.9407,-0.0182,713.36,51
104,662.9862,0.8976,-0.0249,0.9407,-0.0182,629.46,42
105,295.4646,0.8976,-0.0249,0.9407,-0.0182,567.41,38
106,620.4032,0.8976,-0.0249,0.9407,-0.0182,591.57,38
107,574.6162,0.8976,-0.0249,0.9407,-0.0182,561.90,35
108,643.6145,1.0104,-0.0138,1.0424,-0.0182,569.69,37
109,678.0883,1.0104,-0.0138,1.0424,-0.0182,619.21,43
110,696.6769,1.0104,-0.0138,1.0424,-0.0182,638.32,44
111,445.7483,1.0104,-0.0138,1.0424,-0.0182,568.05,37
112,621.9449,1.0104,-0.0138,1.0424,-0.0182,572.78,39
113,619.1015,0.6775,-0.0530,0.7487,-0.0182,541.57,37
114,622.1948,0.6775,-0.0530,0.7487,-0.0182,561.51,37
115,759.8898,0.6775,-0.0530,0.7487,-0.0182,672.35,46
116,784.9168,0.6775,-0.0530,0.7487,-0.0182,655.80,47
117,557.7385,0.6775,-0.0530,0.7487,-0.0182,544.02,35
118,684.0258,0.7358,-0.1029,0.8569,-0.0182,614.67,43
119,835.5810,0.7358,-0.1029,0.8569,-0.0182,682.90,50
120,942.3598,0.7358,-0.1029,0.8569,-0.0182,735.79,60
121,782.8756,0.7358,-0.1029,0.8569,-0.0182,644.46,50
122,704.9901,1.1403,-0.0381,1.1965,-0.0182,608.53,42
123,581.9772,1.1403,-0.0381,1.1965,-0.0182,618.17,43
124,729.0597,1.1403,-0.0381,1.1965,-0.0182,651.13,46
125,-85.4901,1.1403,-0.0381,1.1965,-0.0182,663.22,45
126,748.0436,1.1403,-0.0381,1.1965,-0.0182,662.33,46
127,344.5925,1.1708,-0.0449,1.2338,-0.0182,644.75,44
128,796.8005,1.1708,-0.0449,1.2338,-0.0182,692.77,51
129,634.4276,1.1708,-0.0449,1.2338,-0.0182,597.42,41
130,946.0119,1.1708,-0.0449,1.2338,-0.0182,766.38,58
131,600.1262,1.1241,-0.0737,1.2160,-0.0182,667.81,40
132,633.5859,1.1241,-0.0737,1.2160,-0.0182,545.49,36
133,738.0202,1.1241,-0.0737,1.2160,-0.0182,613.79,42
134,723.7142,1.1241,-0.0737,1.2160,-0.0182,644.79,43
135,740.9301,1.1241,-0.0737,1.2160,-0.0182,674.22,47
136,771.3000,1.4787,-0.0870,1.5839,-0.0182,686.89,48
137,-160.6854,1.4787,-0.0870,1.5839,-0.0182,575.84,38
138,728.0647,1.4787,-0.0870,1.5839,-0.0182,623.50,42
139,775.3012,1.4787,-0.0870,1.5839,-0.0182,638.55,45
140,686.8603,1.2700,-0.0584,1.3465,-0.0182,673.55,45
141,644.8770,1.2700,-0.0584,1.3465,-0.0182,641.34,45
142,818.0562,1.2700,-0.0584,1.3465,-0.0182,622.21,45
143,778.9215,1.2700,-0.0584,1.3465,-0.0182,642.25,46
144,727.2971,0.8706,-0.0763,0.9650,-0.0182,673.90,48
145,14.1871,0.8706,-0.0763,0.9650,-0.0182,8.59,1
146,684.7712,0.8706,-0.0763,0.9650,-0.0182,607.33,40
147,725.5894,0.8706,-0.0763,0.9650,-0.0182,609.46,43
148,605.2339,0.8706,-0.0763,0.9650,-0.0182,622.65,42
149,739.4758,0.8706,-0.0763,0.9650,-0.0182,678.97,46
150,711.4861,1.4596,-0.0232,1.5009,-0.0182,648.07,45
151,820.2931,1.4596,-0.0232,1.5009,-0.0182,717.82,53
152,640.2383,1.4596,-0.0232,1.5009,-0.0182,640.41,43
153,671.2372,1.4596,-0.0232,1.5009,-0.0182,578.20,39
154,812.9229,1.4596,-0.0232,1.5009,-0.0182,611.62,43
155,785.8753,1.5510,-0.0125,1.5817,-0.0182,681.38,51
156,689.5242,1.5510,-0.0125,1.5817,-0.0182,593.97,44
157,711.1061,1.5510,-0.0125,1.5817,-0.0182,621.01,45
158,780.9966,1.5510,-0.0125,1.5817,-0.0182,658.19,50
159,682.7843,2.0696,0.0337,2.0541,-0.0182,608.65,43
160,554.6241,2.0696,0.0337,2.0541,-0.0182,566.98,37
161,762.0151,2.0696,0.0337,2.0541,-0.0182,591.49,44
162,750.1691,2.0696,0.0337,2.0541,-0.0182,592.46,42
163,682.3818,2.0696,0.0337,2.0541,-0.0182,609.95,44
164,580.1420,1.1839,-0.0767,1.2788,-0.0182,570.87,39
165,818.2835,1.1839,-0.0767,1.2788,-0.0182,710.37,52
166,662.4534,1.1839,-0.0767,1.2788,-0.0182,621.84,43
167,618.1097,1.1839,-0.0767,1.2788,-0.0182,622.41,42
168,632.6411,1.0830,-0.0268,1.1280,-0.0182,563.01,36
169,766.0329,1.0830,-0.0268,1.1280,-0.0182,698.79,51
170,786.7040,1.0830,-0.0268,1.1280,-0.0182,686.72,51
171,65.1826,1.0830,-0.0268,1.1280,-0.0182,628.84,45
172,512.4216,1.0830,-0.0268,1.1280,-0.0182,621.80,45
173,-259.0625,0.9354,-0.0252,0.9787,-0.0182,579.39,42
174,782.6975,0.9354,-0.0252,0.9787,-0.0182,667.85,48
175,683.1537,0.9354,-0.0252,0.9787,-0.0182,611.88,42
176,741.0424,0.9354,-0.0252,0.9787,-0.0182,673.02,48
177,762.1220,1.1260,-0.0354,1.1796,-0.0182,672.43,47
178,865.4652,1.1260,-0.0354,1.1796,-0.0182,711.67,53
179,-112.6428,1.1260,-0.0354,1.1796,-0.0182,592.81,42
180,720.4941,1.1260,-0.0354,1.1796,-0.0182,611.39,45
181,862.2632,0.6116,-0.0916,0.7214,-0.0182,665.02,51
182,821.4507,0.6116,-0.0916,0.7214,-0.0182,693.98,53
183,5.1604,0.6116,-0.0916,0.7214,-0.0182,552.78,31
184,531.9692,0.6116,-0.0916,0.7214,-0.0182,587.50,35
185,870.9983,0.6116,-0.0916,0.7214,-0.0182,710.08,54
186,754.4958,1.3040,-0.0181,1.3403,-0.0182,616.89,45
187,706.2762,1.3040,-0.0181,1.3403,-0.0182,569.93,41
188,303.8760,1.3040,-0.0181,1.3403,-0.0182,518.84,35
189,871.5328,1.3040,-0.0181,1.3403,-0.0182,710.25,56
190,635.0184,1.6434,-0.0085,1.6700,-0.0182,543.99,33
191,568.8105,1.6434,-0.0085,1.6700,-0.0182,543.91,36
192,500.4856,1.6434,-0.0085,1.6700,-0.0182,455.62,31
193,673.8180,1.6434,-0.0085,1.6700,-0.0182,516.55,37
194,473.5609,1.6434,-0.0085,1.6700,-0.0182,519.61,33
195,798.9112,1.6434,-0.0085,1.6700,-0.0182,608.53,44
196,742.6666,1.4055,-0.0697,1.4934,-0.0182,578.14,43
197,986.5695,1.4055,-0.0697,1.4934,-0.0182,726.05,58
198,597.8692,1.4055,-0.0697,1.4934,-0.0182,496.62,33
199,898.4104,1.4055,-0.0697,1.4934,-0.0182,655.76,53
200,912.3744,1.5349,0.0175,1.5356,-0.0182,678.95,55
201,662.1330,1.5349,0.0175,1.5356,-0.0182,560.43,38
202,1291.1591,1.5349,0.0175,1.5356,-0.0182,840.12,76
203,1181.5738,1.8681,0.0225,1.8637,-0.0182,853.31,71
204,1155.6433,1.8681,0.0225,1.8637,-0.0182,804.97,72
205,1234.2351,1.8681,0.0225,1.8637,-0.0182,843.19,77
206,649.4732,1.8681,0.0225,1.8637,-0.0182,530.31,35
207,1307.5996,2.2381,0.1138,2.1424,-0.0182,891.53,81
208,1240.8905,2.2381,0.1138,2.1424,-0.0182,870.65,79
209,1252.5271,1.5851,0.0520,1.5513,-0.0182,920.00,77
210,578.3528,1.5851,0.0520,1.5513,-0.0182,511.60,33
211,418.8017,1.5851,0.0520,1.5513,-0.0182,470.22,30
212,1288.2623,1.5851,0.0520,1.5513,-0.0182,844.95,78
213,1029.2289,0.7942,-0.0104,0.8227,-0.0182,723.56,61
214,1316.7158,0.7942,-0.0104,0.8227,-0.0182,886.62,81
215,1070.9903,0.7942,-0.0104,0.8227,-0.0182,734.91,61
216,1291.4591,2.1950,0.0997,2.1135,-0.0182,892.00,80
217,1284.6684,2.1950,0.0997,2.1135,-0.0182,902.87,76
218,1260.2561,1.9441,0.1027,1.8596,-0.0182,891.61,77
219,613.6804,1.9441,0.1027,1.8596,-0.0182,443.58,30
220,-272.7599,1.9441,0.1027,1.8596,-0.0182,604.03,44
221,1066.1664,1.9441,0.1027,1.8596,-0.0182,753.73,63
222,1335.1793,2.4874,-0.0142,2.5198,-0.0182,905.23,82
223,1396.3802,2.4874,-0.0142,2.5198,-0.0182,954.02,85
224,1043.1805,2.4874,-0.0142,2.5198,-0.0182,816.27,66
225,1504.4569,2.2697,0.0123,2.2755,-0.0182,963.17,86
226,534.4125,2.2697,0.0123,2.2755,-0.0182,530.75,35
227,1353.0569,2.2697,0.0123,2.2755,-0.0182,898.75,79
228,398.0385,0.9200,-0.0615,0.9997,-0.0182,516.58,32
229,1065.0452,0.9200,-0.0615,0.9997,-0.0182,761.54,62
230,1236.5972,0.9200,-0.0615,0.9997,-0.0182,807.82,72
231,1145.9233,0.9661,0.1343,0.8500,-0.0182,805.52,71
232,803.0378,0.9661,0.1343,0.8500,-0.0182,647.55,48
233,1124.4096,0.9661,0.1343,0.8500,-0.0182,812.48,66
234,473.0593,0.9661,0.1343,0.8500,-0.0182,456.12,25
235,1626.6998,1.5032,0.1409,1.3804,-0.0182,1039.30,96
236,1449.8584,1.5032,0.1409,1.3804,-0.0182,947.44,84
237,51.0915,1.5032,0.1409,1.3804,-0.0182,498.27,28
238,1380.6008,1.4220,0.0575,1.3826,-0.0182,897.12,79
239,1113.7980,1.4220,0.0575,1.3826,-0.0182,809.98,69
240,690.2501,1.4220,0.0575,1.3826,-0.0182,643.62,46
241,472.9372,1.4220,0.0575,1.3826,-0.0182,497.57,29
242,126.2702,1.3198,-0.0470,1.3849,-0.0182,479.17,25
243,1648.0787,1.3198,-0.0470,1.3849,-0.0182,1056.70,93
244,1278.3145,1.3198,-0.0470,1.3849,-0.0182,897.58,75
245,160.6309,0.9489,0.0838,0.8832,-0.0182,564.33,38
246,159.8868,0.9489,0.0838,0.8832,-0.0182,524.57,31
247,922.3671,0.9489,0.0838,0.8832,-0.0182,776.17,57
248,199.9179,0.9489,0.0838,0.8832,-0.0182,438.55,23
249,952.9571,0.9489,0.0838,0.8832,-0.0182,770.59,62
250,1290.9103,0.8301,0.0298,0.8184,-0.0182,890.78,75
251,256.0352,0.8301,0.0298,0.8184,-0.0182,666.03,50
252,1678.6809,1.9818,-0.0425,2.0424,-0.0182,1148.61,104
253,1461.2398,1.9818,-0.0425,2.0424,-0.0182,1016.05,89
254,1580.5126,1.9818,-0.0425,2.0424,-0.0182,1058.57,94
255,1632.0975,1.7518,0.1037,1.6663,-0.0182,1135.99,100
256,1278.4581,1.7518,0.1037,1.6663,-0.0182,889.08,77
257,1490.7482,2.5255,0.0433,2.5004,-0.0182,1062.62,92
258,1658.5193,2.5255,0.0433,2.5004,-0.0182,1159.47,103
259,1639.1831,2.6009,0.0645,2.5546,-0.0182,1080.24,99
260,1540.7303,2.6009,0.0645,2.5546,-0.0182,1071.36,92
261,1361.9737,1.6353,0.0978,1.5557,-0.0182,1004.36,83
262,1173.1445,1.6353,0.0978,1.5557,-0.0182,946.56,72
263,283.2397,1.6353,0.0978,1.5557,-0.0182,485.30,27
264,1692.0268,2.2818,0.0216,2.2784,-0.0182,1258.03,110
265,1297.9546,2.2818,0.0216,2.2784,-0.0182,961.88,83
266,1255.6138,1.9067,0.0403,1.8845,-0.0182,910.50,75
267,1200.7725,1.9067,0.0403,1.8845,-0.0182,989.30,78
268,1420.6325,1.9067,0.0403,1.8845,-0.0182,1020.17,85
269,1210.4350,1.7635,0.0319,1.7498,-0.0182,893.37,74
270,941.3729,1.7635,0.0319,1.7498,-0.0182,696.04,53
271,1414.7494,1.7635,0.0319,1.7498,-0.0182,940.94,79
272,152.8396,1.5029,0.0483,1.4728,-0.0182,476.85,28
273,815.6172,1.5029,0.0483,1.4728,-0.0182,654.08,50
274,849.5972,1.5029,0.0483,1.4728,-0.0182,698.17,51
275,1646.9556,1.3257,0.0892,1.2547,-0.0182,1124.73,101
276,682.6946,1.3257,0.0892,1.2547,-0.0182,617.49,42
277,671.4594,1.3257,0.0892,1.2547,-0.0182,545.03,36
278,1523.7673,1.3257,0.0892,1.2547,-0.0182,1110.89,94
279,634.1960,1.0632,-0.0287,1.1101,-0.0182,588.85,39
280,1366.8115,1.0632,-0.0287,1.1101,-0.0182,1028.54,83
281,1547.5961,1.1697,-0.0177,1.2056,-0.0182,1105.07,95
282,805.1582,1.1697,-0.0177,1.2056,-0.0182,653.68,46
283,1475.4436,1.1697,-0.0177,1.2056,-0.0182,1090.63,93
284,1183.9015,1.7991,0.0680,1.7493,-0.0182,894.51,72
285,222.9339,1.7991,0.0680,1.7493,-0.0182,575.72,35
286,1112.5835,1.7991,0.0680,1.7493,-0.0182,871.06,71
287,1294.0384,1.7991,0.0680,1.7493,-0.0182,981.21,80
288,1284.7502,2.4777,0.0532,2.4426,-0.0182,961.50,81
289,1245.9787,2.4777,0.0532,2.4426,-0.0182,964.54,79
290,1414.4593,1.8292,0.0404,1.8070,-0.0182,1045.20,86
291,584.5070,1.8292,0.0404,1.8070,-0.0182,545.84,36
292,630.4264,1.8292,0.0404,1.8070,-0.0182,641.40,46
293,438.2376,1.8292,0.0404,1.8070,-0.0182,566.38,37
294,1315.2287,1.6137,0.0947,1.5372,-0.0182,965.05,82
295,1063.6024,1.6137,0.0947,1.5372,-0.0182,776.03,63
296,1421.1808,1.6137,0.0947,1.5372,-0.0182,960.42,85
297,-111.4131,1.7091,0.1088,1.6185,-0.0182,501.04,30
298,1228.4914,1.7091,0.1088,1.6185,-0.0182,963.94,76
299,720.6625,1.7091,0.1088,1.6185,-0.0182,992.45,80
300,1150.9734,1.5265,0.0454,1.4993,-0.0182,908.70,74
301,1776.6690,1.5265,0.0454,1.4993,-0.0182,1216.77,108
302,1573.1519,1.5069,0.0640,1.4611,-0.0182,1141.16,99
303,1384.8474,1.5069,0.0640,1.4611,-0.0182,1064.84,90
304,118.4224,1.5069,0.0640,1.4611,-0.0182,507.47,31
305,1354.0068,1.7067,0.0402,1.6847,-0.0182,976.29,85
306,1722.8384,1.7067,0.0402,1.6847,-0.0182,1197.92,106
307,1675.9399,1.9339,0.0706,1.8814,-0.0182,1082.29,100
308,1393.2070,1.9339,0.0706,1.8814,-0.0182,996.86,82
309,1498.1350,3.4841,0.0554,3.4469,-0.0182,1072.70,96
310,893.8920,3.4841,0.0554,3.4469,-0.0182,724.75,55
311,893.6811,3.4841,0.0554,3.4469,-0.0182,744.83,55
312,1593.2303,2.1693,0.0151,2.1723,-0.0182,1121.18,99
313,1737.3408,2.1693,0.0151,2.1723,-0.0182,1211.35,109
314,876.8501,1.1630,0.0618,1.1194,-0.0182,747.43,54
315,1538.3528,1.1630,0.0618,1.1194,-0.0182,1129.49,97
316,798.3370,1.1630,0.0618,1.1194,-0.0182,705.44,52
317,1227.7791,1.9216,-0.0283,1.9680,-0.0182,959.59,77
318,816.3295,1.9216,-0.0283,1.9680,-0.0182,741.33,54
319,21.4728,1.9216,-0.0283,1.9680,-0.0182,568.47,33
320,1308.3949,1.4382,0.0829,1.3735,-0.0182,1134.43,89
321,1472.4705,1.4382,0.0829,1.3735,-0.0182,1137.11,92
322,1476.3553,2.1899,0.0696,2.1385,-0.0182,1051.98,89
323,144.7263,2.1899,0.0696,2.1385,-0.0182,708.56,52
324,485.6116,2.1899,0.0696,2.1385,-0.0182,553.59,31
325,1309.9357,2.1899,0.0696,2.1385,-0.0182,957.33,82
326,513.2203,0.8010,0.0257,0.7934,-0.0182,382.96,31
327,964.9746,0.8010,0.0257,0.7934,-0.0182,709.32,62
328,838.2788,0.8010,0.0257,0.7934,-0.0182,726.55,51
329,1514.1538,1.6576,0.0733,1.6024,-0.0182,1088.88,90
330,1071.1546,1.6576,0.0733,1.6024,-0.0182,1181.09,98
331,1747.5410,2.2725,0.1619,2.1288,-0.0182,1200.10,109
332,-169.8760,2.2725,0.1619,2.1288,-0.0182,616.82,40
333,-178.9954,2.2725,0.1619,2.1288,-0.0182,831.58,61
334,1181.7834,2.2725,0.1619,2.1288,-0.0182,981.36,76
335,1142.9920,2.2734,0.0601,2.2314,-0.0182,937.33,73
336,1436.5564,2.2734,0.0601,2.2314,-0.0182,1009.34,82
337,946.6688,1.6394,0.0336,1.6240,-0.0182,840.14,58
338,1418.9421,1.6394,0.0336,1.6240,-0.0182,1010.05,84
339,364.4690,1.6394,0.0336,1.6240,-0.0182,527.50,28
340,883.6078,1.6394,0.0336,1.6240,-0.0182,722.35,53
341,634.0174,1.8944,0.0689,1.8436,-0.0182,498.74,35
342,303.4241,1.8944,0.0689,1.8436,-0.0182,289.59,20
343,1490.4837,1.8944,0.0689,1.8436,-0.0182,984.57,87
344,158.9539,1.8944,0.0689,1.8436,-0.0182,480.71,26
345,1242.9343,0.8485,0.0252,0.8414,-0.0182,889.56,74
346,873.5684,0.8485,0.0252,0.8414,-0.0182,1064.81,87
347,1376.2399,0.8485,0.0252,0.8414,-0.0182,922.30,79
348,1557.6793,1.8079,0.1312,1.6948,-0.0182,1086.12,97
349,1465.9701,1.8079,0.1312,1.6948,-0.0182,1004.22,90
350,1624.6444,2.6797,0.2154,2.4824,-0.0182,1132.96,100
351,1798.1273,2.6797,0.2154,2.4824,-0.0182,1153.79,109
352,1546.8425,2.4352,0.0284,2.4250,-0.0182,1108.47,93
353,1830.6512,2.4352,0.0284,2.4250,-0.0182,1178.12,110
354,486.4130,1.9996,0.1422,1.8756,-0.0182,302.23,28
355,1190.4889,1.9996,0.1422,1.8756,-0.0182,842.91,73
356,1935.1846,1.9996,0.1422,1.8756,-0.0182,1160.94,113
357,1553.8190,3.3313,0.0972,3.2523,-0.0182,988.27,90
358,1510.3441,3.3313,0.0972,3.2523,-0.0182,1033.24,92
359,1496.0560,2.3138,0.1678,2.1641,-0.0182,1108.36,94
360,1859.4567,2.3138,0.1678,2.1641,-0.0182,1105.56,106
361,-398.7754,1.0960,0.0743,1.0399,-0.0182,830.52,67
362,1513.9243,1.0960,0.0743,1.0399,-0.0182,964.31,86
363,1547.3395,2.8161,0.0967,2.7376,-0.0182,1003.21,95
364,1482.9650,2.8161,0.0967,2.7376,-0.0182,894.71,85
365,1655.7536,1.0108,0.1355,0.8935,-0.0182,1047.88,99
366,13.0929,1.0108,0.1355,0.8935,-0.0182,10.39,1
367,1714.0024,1.0108,0.1355,0.8935,-0.0182,1020.62,98
368,1440.2694,1.0108,0.1355,0.8935,-0.0182,886.87,82
369,1628.8834,1.8931,0.0517,1.8596,-0.0182,1115.34,95
370,1848.7414,1.8931,0.0517,1.8596,-0.0182,1117.21,105
371,1190.5184,1.3178,0.1067,1.2292,-0.0182,1051.26,91
372,978.1995,1.3178,0.1067,1.2292,-0.0182,971.04,86
373,1502.7368,3.0653,0.1118,2.9716,-0.0182,1088.89,97
374,1643.8898,3.0653,0.1118,2.9716,-0.0182,1011.32,93
375,1602.7270,1.7753,0.0685,1.7250,-0.0182,1033.72,95
376,1627.6101,1.7753,0.0685,1.7250,-0.0182,994.82,95
377,1117.1399,1.4353,0.1423,1.3112,-0.0182,651.77,62
378,590.7711,1.4353,0.1423,1.3112,-0.0182,394.28,37
379,1623.9225,1.4353,0.1423,1.3112,-0.0182,1015.27,94
380,1663.2928,1.4547,0.2273,1.2456,-0.0182,974.35,96
381,1799.3896,1.4547,0.2273,1.2456,-0.0182,1073.26,98
382,1529.9039,1.5383,0.1434,1.4130,-0.0182,963.57,91
383,1582.1776,1.5383,0.1434,1.4130,-0.0182,961.44,90
384,1673.1983,0.8378,0.2356,0.6204,-0.0182,1011.12,95
385,1592.7273,0.8378,0.2356,0.6204,-0.0182,926.13,91
386,1692.3994,0.8378,0.2356,0.6204,-0.0182,990.04,101
387,2132.3338,0.9616,0.1617,0.8181,-0.0182,982.46,97
388,1251.9937,0.9616,0.1617,0.8181,-0.0182,820.06,72
389,778.5192,3.1429,0.0990,3.0621,-0.0182,374.60,38
390,900.3690,3.1429,0.0990,3.0621,-0.0182,603.93,56
391,1668.5115,3.1429,0.0990,3.0621,-0.0182,952.47,96
392,1592.5954,1.1103,0.1791,0.9494,-0.0182,910.15,90
393,1462.2046,1.1103,0.1791,0.9494,-0.0182,885.02,87
394,1728.4438,0.9015,0.1636,0.7561,-0.0182,1057.99,101
395,1805.6432,0.9015,0.1636,0.7561,-0.0182,1081.98,104
396,1532.8992,1.3116,0.2464,1.0833,-0.0182,970.35,90
