episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
0,540.3885,250.15,35,15.4397,2.1602
1,537.9774,266.75,37,14.5399,2.0168
2,608.7114,246.86,35,17.3918,2.4659
3,503.3254,255.85,33,15.2523,1.9673
4,704.4038,273.05,42,16.7715,2.5798
5,551.8905,268.48,38,14.5234,2.0556
6,560.6397,269.08,37,15.1524,2.0835
7,81.4624,259.41,37,2.2017,0.3140
8,455.4026,233.16,30,15.1801,1.9531
9,504.4962,243.76,33,15.2878,2.0696
10,552.7302,249.20,36,15.3536,2.2181
11,521.8721,249.81,35,14.9106,2.0891
12,547.3123,251.18,34,16.0974,2.1790
13,555.1961,262.10,36,15.4221,2.1183
14,580.2402,255.99,36,16.1178,2.2666
15,597.0324,278.36,39,15.3085,2.1448
16,576.9842,264.08,38,15.1838,2.1849
17,572.9763,258.67,37,15.4858,2.2151
18,569.0331,262.19,37,15.3793,2.1703
19,538.3091,269.59,39,13.8028,1.9968
20,588.1550,269.84,40,14.7039,2.1797
21,616.9376,266.81,39,15.8189,2.3123
22,599.4619,272.61,40,14.9865,2.1989
23,701.8407,271.13,39,17.9959,2.5886
24,593.0815,259.86,36,16.4745,2.2823
25,673.5237,268.95,40,16.8381,2.5043
26,611.2758,265.39,39,15.6737,2.3033
27,617.6572,274.45,41,15.0648,2.2505
28,605.7256,282.62,42,14.4220,2.1433
29,662.2138,277.87,43,15.4003,2.3832
30,505.5185,245.36,33,15.3187,2.0603
31,591.9301,268.47,39,15.1777,2.2048
32,488.7858,247.03,34,14.3761,1.9786
33,532.7938,242.84,32,16.6498,2.1940
34,602.5431,269.22,40,15.0636,2.2381
35,357.1144,256.87,35,10.2033,1.3902
36,558.4171,260.02,36,15.5116,2.1476
37,570.2295,250.32,36,15.8397,2.2780
38,559.7791,252.04,34,16.4641,2.2210
39,533.0239,255.37,36,14.8062,2.0873
40,685.4684,260.92,39,17.5761,2.6271
41,710.6358,275.92,41,17.3326,2.5755
42,703.0845,275.74,40,17.5771,2.5498
43,644.9777,284.96,41,15.7312,2.2634
44,515.0854,256.85,34,15.1496,2.0054
45,634.2663,280.09,42,15.1016,2.2645
46,681.8614,291.39,45,15.1525,2.3400
47,683.6406,263.66,37,18.4768,2.5929
48,683.3330,281.14,44,15.5303,2.4306
49,505.4100,254.42,34,14.8650,1.9865
50,688.6066,291.53,44,15.6501,2.3620
51,631.3229,279.93,41,15.3981,2.2553
52,614.7224,270.38,41,14.9932,2.2735
53,650.4381,280.08,42,15.4866,2.3223
54,733.7891,283.22,44,16.6770,2.5909
55,650.4574,288.16,45,14.4546,2.2573
56,521.6543,248.28,33,15.8077,2.1010
57,594.2638,275.98,38,15.6385,2.1533
58,607.5020,270.87,40,15.1876,2.2428
59,545.1459,261.52,37,14.7337,2.0845
60,545.2701,249.50,34,16.0374,2.1855
61,653.5827,276.22,43,15.1996,2.3661
62,772.2907,295.56,46,16.7889,2.6130
63,578.9400,264.44,36,16.0817,2.1893
64,702.1460,289.86,43,16.3290,2.4223
65,618.9054,266.63,39,15.8694,2.3212
66,380.2217,266.98,38,10.0058,1.4241
67,479.1382,259.12,35,13.6897,1.8491
68,683.7544,264.98,39,17.5322,2.5804
69,667.1029,290.68,44,15.1614,2.2950
70,652.1722,279.72,42,15.5279,2.3315
71,650.3049,290.24,45,14.4512,2.2406
72,713.5788,289.28,44,16.2177,2.4667
73,728.3245,291.44,46,15.8331,2.4991
74,742.3781,299.23,48,15.4662,2.4810
75,822.1770,304.78,49,16.7791,2.6976
76,823.7185,298.32,48,17.1608,2.7612
77,602.1926,265.50,38,15.8472,2.2682
78,665.8247,276.68,43,15.4843,2.4064
79,509.3702,254.05,34,14.9815,2.0050
80,852.7120,328.37,56,15.2270,2.5968
81,529.7743,255.14,34,15.5816,2.0764
82,825.4774,312.04,52,15.8746,2.6454
