File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lumos5g_trace_4.csv,QAOCS-RBA,2.44,2.01,46.5,98.8293088798899,1.1,6933.74354181648,1.52,0.1,0.09,132.86
oboe_trace_2.csv,QAOCS-RBA,2.23,0.49,32.12,98.6018460704601,1.03,1835.05605841881,1.39,0.17,0.49,35.15
hsr_trace_2.csv,QAOCS-RBA,2.13,1.71,45.18,98.8906820849692,0.7,6779.66242791913,1.32,0.08,0.21,129.88
oboe_trace_1.csv,QAOCS-RBA,2.47,0.34,8.37,98.1848151659072,2.09,1175.90407331488,7.46,14.23,0.27,22.85
hsr_trace_1.csv,QAOCS-RBA,2.26,1.13,29.68,98.714596580083,0.8,4039.22432967303,1.39,0.1,0.64,81.03
fcc18_trace_3.csv,QAOCS-RBA,1.98,0.41,30.64,98.6955559361229,0.91,1662.39727382971,1.23,0.09,0.49,33.02
fcc18_trace_1.csv,QAOCS-RBA,2.03,0.77,24.4,98.7062218345109,0.78,2938.36538487682,1.25,0.09,0.6,61.7
lumos5g_trace_1.csv,QAOCS-RBA,2.51,2.4,48.79,98.4843766605582,1.24,7820.67297503663,1.56,0.08,0.06,153.32
lab_trace_1.csv,QAOCS-RBA,1.89,1.79,48.33,98.8410615427466,0.87,7528.58463145176,1.18,0.08,0.02,152.47
fcc18_trace_2.csv,QAOCS-RBA,2.23,0.37,29.46,98.7588352017072,1.05,1416.46647377746,1.37,0.11,0.51,26.82
ghent_trace_1.csv,QAOCS-RBA,2.1,1.81,43,98.955600414855,0.79,7280.58784095087,1.3,0.46,0.09,139.09
hsr_trace_3.csv,QAOCS-RBA,2.23,1,21.73,98.6654605763188,0.98,4049.41119665939,1.39,0.16,0.51,72.34
oboe_trace_3.csv,QAOCS-RBA,2.33,0.86,24.49,98.4601812318741,1.11,2903.00028314938,1.45,0.09,0.64,59.45
ghent_trace_0.csv,QAOCS-RBA,2.29,2.08,49.07,98.9922467989577,0.87,7981.87977391839,1.41,0.08,0.03,147.51
lab_trace_3.csv,QAOCS-RBA,1.86,1.7,46.53,99.0333730177761,0.68,7618.96087014417,1.15,0.11,0.01,148.14
ghent_trace_3.csv,QAOCS-RBA,2.18,1.5,47.01,98.8420578724094,0.89,5465.51633076344,1.35,0.09,0.34,111.26
lab_trace_2.csv,QAOCS-RBA,2.08,1.93,47.93,98.8673463241215,0.72,8006.03139671155,1.28,0.1,0.04,150.51
oboe_trace_0.csv,QAOCS-RBA,2.28,0.44,22.08,98.5009494465635,1.33,1599.90899425013,1.39,0.09,0.6,31.86
lumos5g_trace_2.csv,QAOCS-RBA,2.09,2.03,49.95,98.9097712983519,0.9,7549.58742924996,1.3,0.08,0.06,156.44
lumos5g_trace_3.csv,QAOCS-RBA,2.53,2.33,45.82,98.5749566845813,0.81,6950.69143193925,1.56,0.08,0.03,149.29
ghent_trace_2.csv,QAOCS-RBA,2.05,1.85,48.61,98.9581467388931,0.86,7463.46699189719,1.27,0.08,0.05,146.28
lumos5g_trace_4.csv,QAOCS-MPC,2.39,2.07,45.47,98.5775223727628,0.96,7281.23275584584,1.49,0.13,0.04,138.86
oboe_trace_2.csv,QAOCS-MPC,2.3,0.78,5.58,98.7796243344635,0.74,3366.88727187596,2.86,0.3,0.61,54.27
hsr_trace_2.csv,QAOCS-MPC,2.23,1.93,38.09,98.6216139741544,0.79,7110.93576570304,1.37,0.08,0.01,140.77
oboe_trace_1.csv,QAOCS-MPC,2.47,0.37,5.17,98.2969521056902,1.49,1324.81349709922,20,24.61,0.48,24.06
hsr_trace_1.csv,QAOCS-MPC,2.3,1.62,7,98.8091973617798,0.76,6315.61396734444,7.14,8.95,0.29,113.23
fcc18_trace_3.csv,QAOCS-MPC,1.83,0.57,5.3,98.6174230772176,1.07,3293.93908903257,3.41,0.72,0.57,49.82
fcc18_trace_1.csv,QAOCS-MPC,2.16,1.14,6.29,98.7932741816507,0.92,5515.88240147074,8,3.93,0.44,85.56
lumos5g_trace_1.csv,QAOCS-MPC,2.4,2.48,51.77,98.913801343659,0.76,8338.62686257262,1.49,0.08,0.01,165.89
lab_trace_1.csv,QAOCS-MPC,2.12,1.89,49.14,98.8338908064366,0.74,7263.54818166794,1.32,0.09,0.01,143.61
fcc18_trace_2.csv,QAOCS-MPC,2.39,0.57,5.79,98.3616517199057,1.63,2534.8163173741,4.35,2,0.68,39.15
ghent_trace_1.csv,QAOCS-MPC,2.26,2.04,46.97,98.8936191532352,0.8,7572.6365863437,1.41,0.14,0.01,144.75
hsr_trace_3.csv,QAOCS-MPC,2.16,1.11,8.46,98.9487592801233,0.9,5512.37100441751,14.67,24.84,0.37,83.28
oboe_trace_3.csv,QAOCS-MPC,2.11,1.03,6.4,98.9149478037268,0.84,5380.34041333026,2.6,4.14,0.55,79.41
ghent_trace_0.csv,QAOCS-MPC,2.24,2.03,50.23,99.0025076796878,0.71,7350.43379431718,1.39,0.09,0.01,145.82
lab_trace_3.csv,QAOCS-MPC,2.06,1.83,49.16,98.8765319826755,0.85,7381.18202739687,1.28,0.09,0.01,143.07
ghent_trace_3.csv,QAOCS-MPC,2.03,1.71,38.77,98.7976087429519,0.87,7222.835159958,1.27,0.09,0.08,135.22
lab_trace_2.csv,QAOCS-MPC,2.16,1.82,47.28,98.9467150244411,0.73,7521.5996802849,1.33,0.09,0.01,136.53
oboe_trace_0.csv,QAOCS-MPC,2.43,0.66,6.6,98.5824049273649,1.1,2744.04304168546,4.41,3.68,0.66,44.81
lumos5g_trace_2.csv,QAOCS-MPC,2.02,1.58,51.15,98.3025374133282,1.92,6985.74373746986,1.25,0.08,0.03,126.73
lumos5g_trace_3.csv,QAOCS-MPC,1.82,1.64,46.09,98.6405112069062,1.18,6753.65700295965,1.12,0.08,0.01,145.55
ghent_trace_2.csv,QAOCS-MPC,1.98,1.9,48.01,98.837187022326,0.76,7411.65574307229,1.23,0.08,0.01,154.09
lumos5g_trace_4.csv,QAOCS-BOLA,2.24,1.86,46.08,98.7294730271663,1.02,6851.7119326129,1.39,0.09,0.06,133.68
oboe_trace_2.csv,QAOCS-BOLA,2.72,0.89,7.58,98.0967709495886,1.63,3003.92541390389,6.45,3.17,0.35,55.37
hsr_trace_2.csv,QAOCS-BOLA,2.02,1.83,39.59,98.6648626459557,1.2,7302.92493702192,1.25,0.09,0.04,146.5
oboe_trace_1.csv,QAOCS-BOLA,2.58,0.43,4.53,98.0406706753019,1.35,1458.77758227202,26.98,38.85,0.41,26.79
hsr_trace_1.csv,QAOCS-BOLA,2.13,1.26,16.29,98.34107718243,1.49,4728.42781656698,1.28,0.09,0.19,98.11
fcc18_trace_3.csv,QAOCS-BOLA,2.03,0.64,7.15,98.7819059067264,1.18,2776.5427072186,1.27,0.65,0.46,50.31
fcc18_trace_1.csv,QAOCS-BOLA,2.24,1.13,10.16,98.8507991589702,0.87,4238.13416424931,1.39,0.46,0.18,81.12
lumos5g_trace_1.csv,QAOCS-BOLA,2.41,2.05,49.42,98.4191823771384,1.45,7417.78234346695,1.49,0.08,0.07,137.26
lab_trace_1.csv,QAOCS-BOLA,1.84,1.53,49.02,98.846276782321,0.84,7061.25285085337,1.14,0.08,0.02,134.86
fcc18_trace_2.csv,QAOCS-BOLA,2.4,0.57,7.07,98.036248439009,1.64,2171.99448206647,4.41,1.19,0.41,38.45
ghent_trace_1.csv,QAOCS-BOLA,1.76,1.59,41.98,98.5870311572758,1.24,7045.21191134187,1.09,0.09,0.02,146.61
hsr_trace_3.csv,QAOCS-BOLA,2.48,1.25,14.46,98.3380738528401,1.31,4321.29873403869,7.69,14.73,0.28,81.27
oboe_trace_3.csv,QAOCS-BOLA,2.23,1.02,14.65,98.4479143071613,1.03,3816.17304181048,1.37,0.16,0.12,74.48
ghent_trace_0.csv,QAOCS-BOLA,2.09,1.91,51.25,98.9796726713067,0.84,7746.04043487353,1.3,0.1,0.03,147.05
lab_trace_3.csv,QAOCS-BOLA,1.98,1.75,48.48,99.0883302026753,0.7,7868.64765143445,1.22,0.14,0.02,143.55
ghent_trace_3.csv,QAOCS-BOLA,2.36,2.19,39.57,98.8492309474676,0.77,7911.90855045193,1.47,0.09,0.03,148.66
lab_trace_2.csv,QAOCS-BOLA,2.07,2.01,45.87,98.722246743176,1,7964.19917661486,1.25,0.08,0.04,160.41
oboe_trace_0.csv,QAOCS-BOLA,2.07,0.56,5.65,98.5744600221913,1.21,2589.03180646494,3.85,2.01,0.54,43.74
lumos5g_trace_2.csv,QAOCS-BOLA,2.26,1.95,47.31,98.1906707556151,1.48,6844.61770236226,1.41,0.08,0.06,138.12
lumos5g_trace_3.csv,QAOCS-BOLA,2.59,2.16,49.29,98.6577278784693,1.21,7126.89211869997,1.59,0.08,0.05,135.85
ghent_trace_2.csv,QAOCS-BOLA,2.36,1.96,46.47,98.7057397801896,1.14,7079.88931697398,1.45,0.08,0.04,135.39
oboe_trace_2.txt.csv,QAOCS-BBA,2.29,0.74,11.95,97.9861719021795,2.16,2527.85307984735,1.43,0.1,0.21,51.97
fcc18_trace_2.txt.csv,QAOCS-BBA,2.64,0.62,8.98,97.8303342985221,2.81,1974.45811790158,4.84,4.94,0.34,38.4
fcc18_trace_1.txt.csv,QAOCS-BBA,2.24,1.04,17.45,98.6857044016189,1.24,3841.79492522078,1.37,0.41,0.14,75.63
ghent_trace_0.txt.csv,QAOCS-BBA,1.82,1.61,48.41,98.5990662495169,1.12,7025.04780170559,1.1,0.08,0.03,146.16
lumos5g_trace_4.txt.csv,QAOCS-BBA,2.1,1.78,49.35,98.6566833353752,0.91,6813.8325154944,1.3,0.09,0.04,137.2
ghent_trace_1.txt.csv,QAOCS-BBA,2.5,2.17,45.86,98.6721673825411,1.04,7378.39574467603,1.54,0.09,0.05,140.9
oboe_trace_3.txt.csv,QAOCS-BBA,1.99,0.87,17.58,97.7262506839337,2.97,3684.19821223448,1.23,0.21,0.2,70.72
lab_trace_2.txt.csv,QAOCS-BBA,2.03,1.68,48.39,98.76508948869,0.88,6962.09671053767,1.23,0.11,0.04,136.12
lumos5g_trace_1.txt.csv,QAOCS-BBA,1.94,1.63,48.02,98.7619205420256,0.98,6519.22133025265,1.2,0.08,0.04,135.34
ghent_trace_2.txt.csv,QAOCS-BBA,1.97,1.72,45.97,98.9233663366843,0.91,7552.07943775421,1.22,0.09,0.04,141.16
lab_trace_3.txt.csv,QAOCS-BBA,2.28,2.11,47.1,98.7993521178524,0.81,7160.71385249076,1.39,0.12,0.04,151.6
hsr_trace_3.txt.csv,QAOCS-BBA,2.17,1.05,17.54,98.3387614071947,1.72,4421.74504742278,5.41,8.08,0.16,77.66
hsr_trace_1.txt.csv,QAOCS-BBA,2.06,1.21,20.15,98.7459132170525,1.08,5017.47105638741,1.27,0.1,0.22,95.47
fcc18_trace_3.txt.csv,QAOCS-BBA,2.56,0.76,14.32,97.3382886347098,2.77,2485.72504934482,1.59,0.1,0.25,47.85
ghent_trace_3.txt.csv,QAOCS-BBA,2.37,2.16,40.67,98.9074020156633,0.84,7332.47867636293,1.47,0.12,0.04,146.77
lumos5g_trace_3.txt.csv,QAOCS-BBA,2.2,1.79,51.19,98.4505492233525,1.59,6994.45331798212,1.37,0.08,0.04,130.38
oboe_trace_0.txt.csv,QAOCS-BBA,2.37,0.63,10.46,97.7494667427923,2.52,2068.01225282893,2.9,1.25,0.25,43.42
lumos5g_trace_2.txt.csv,QAOCS-BBA,2.14,1.87,52.19,98.7852948112973,1.2,7530.95987373462,1.33,0.08,0.04,140.35
lab_trace_1.txt.csv,QAOCS-BBA,2.09,1.64,46.55,98.3820853443813,1.22,5967.56913686517,1.3,0.08,0.04,125.94
oboe_trace_1.txt.csv,QAOCS-BBA,2.83,0.45,5.93,97.4685941050451,2.85,1373.99844762901,21.05,33.91,0.16,25.69
hsr_trace_2.txt.csv,QAOCS-BBA,2.06,1.82,42.44,98.8782143153412,0.98,7409.84080037735,1.28,0.08,0.04,142.34
fcc18_trace_1.txt.csv,Constant-4,4.73,0.63,48.52,86.7892719982805,4.92,1083.09853956281,5.88,0.95,0.71,21.29
fcc18_trace_1.txt.csv,GOP-4,2.64,1.07,32.53,97.2567163924547,1.73,3323.57534754758,6.56,1.06,0.28,65.33
fcc18_trace_1.txt.csv,Segue,2.64,1.07,32.53,97.2567163924547,1.73,3323.57534754758,6.56,1.06,0.28,65.33
fcc18_trace_2.txt.csv,Constant-4,4.73,0.43,22.84,85.7083031214615,4.73,732.317199063797,5.88,5.34,0.26,14.67
fcc18_trace_2.txt.csv,GOP-4,2.64,0.27,13.83,90.4590163857505,2.93,850.560839889295,6.56,5.25,0.07,16.69
fcc18_trace_2.txt.csv,Segue,2.64,0.27,13.83,90.4590163857505,2.93,850.560839889295,6.56,5.25,0.07,16.69
fcc18_trace_3.txt.csv,Constant-4,4.73,0.63,46.51,86.7892719982805,4.92,1083.09853956281,5.88,1.53,0.71,21.29
fcc18_trace_3.txt.csv,GOP-4,2.64,0.66,27.36,94.8167846149233,3.03,2027.98184215728,6.56,1.62,0.31,40.05
fcc18_trace_3.txt.csv,Segue,2.64,0.66,27.36,94.8167846149233,3.03,2027.98184215728,6.56,1.62,0.31,40.05
