File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
oboe_trace_15.txt.csv,QAOCS,1.94,0.77,17.94,98.40250412962321,1.22,3347.216895092889,0.96,0.44,0.21,80.01
lumos5g_trace_5.txt.csv,QAOCS,2.62,1.72,53.67,97.71462752330018,2.37,5526.753401802802,1.30,0.08,0.04,132.55
fcc18_trace_6.txt.csv,QAOCS,2.15,1.72,45.91,98.51559599454642,1.14,6103.420536935844,1.06,0.15,0.03,161.87
fcc18_trace_12.txt.csv,QAOCS,2.18,0.93,18.22,98.13934088313663,2.01,3426.0999700409984,1.06,0.16,0.10,87.76
hsr_trace_13.txt.csv,QAOCS,3.11,0.60,9.04,97.17065745761593,3.14,1498.6136965344297,15.38,45.24,0.34,38.91
oboe_trace_20.txt.csv,QAOCS,2.38,0.40,9.27,96.39751939111137,3.67,1357.0268054620938,7.06,14.16,0.27,33.94
lab_trace_20.txt.csv,QAOCS,1.86,1.34,51.63,98.51555318508103,1.07,5768.239122904129,0.92,0.16,0.03,146.05
lab_trace_14.txt.csv,QAOCS,2.01,1.51,48.94,98.65533596067601,1.03,5954.78803668268,0.98,0.09,0.03,153.82
lab_trace_3.txt.csv,QAOCS,2.21,1.52,50.30,98.0066425688586,1.66,5324.315353053897,1.09,0.10,0.03,139.40
HSDPA_trace_3.csv,QAOCS,3.17,0.39,5.89,94.2497196679961,4.73,980.06993188713,37.50,127.57,0.14,24.92
ghent_trace_6.txt.csv,QAOCS,2.21,1.56,49.83,98.25789545787258,1.60,6012.781200586791,1.10,0.59,0.05,142.06
ghent_trace_12.txt.csv,QAOCS,2.04,1.57,49.25,98.65320769917255,1.19,6115.7592888305935,1.01,0.10,0.03,155.76
HSDPA_trace_19.csv,QAOCS,2.47,0.32,6.62,97.28001950372075,2.55,1020.5482945259314,10.98,24.84,0.18,26.38
oboe_trace_0.txt.csv,QAOCS,2.76,0.73,12.49,97.0825634636045,2.45,1971.5884243540847,1.37,0.81,0.25,53.64
lab_trace_18.txt.csv,QAOCS,1.98,1.45,50.61,98.27059638664768,1.50,5961.652129289475,0.97,0.10,0.03,149.51
fcc18_trace_10.txt.csv,QAOCS,2.81,0.53,8.42,94.84841281185935,4.67,1381.4884781460278,5.56,5.75,0.32,37.85
ghent_trace_20.txt.csv,QAOCS,2.04,1.47,49.38,98.198708798489,1.59,6161.185134732677,0.99,0.10,0.03,148.73
hsr_trace_7.txt.csv,QAOCS,2.10,1.52,44.92,97.68795380247829,1.76,5918.775812567539,1.04,0.40,0.03,146.30
fcc18_trace_5.txt.csv,QAOCS,2.00,1.34,25.47,97.92034873833833,1.91,5321.677323765565,0.99,0.15,0.11,134.97
hsr_trace_15.txt.csv,QAOCS,2.37,1.76,40.49,98.54114920420848,1.14,5560.693261849125,2.35,2.23,0.04,149.53
lumos5g_trace_3.txt.csv,QAOCS,2.57,1.81,48.54,97.87936161100109,2.08,5472.282315118816,1.22,0.08,0.04,148.04
lab_trace_1.txt.csv,QAOCS,2.48,1.83,49.98,98.44353901564523,1.43,5723.136538401551,1.20,0.09,0.04,151.84
lab_trace_11.txt.csv,QAOCS,2.52,1.96,48.99,98.37523038001727,1.45,6212.653050385349,1.25,0.26,0.04,156.44
lumos5g_trace_2.txt.csv,QAOCS,1.90,1.30,51.49,98.31425035005819,1.58,5717.556666354978,0.94,0.08,0.03,137.50
fcc18_trace_1.txt.csv,QAOCS,2.06,0.96,19.35,97.67490412604303,2.50,3706.501551116621,1.02,0.28,0.38,94.08
hsr_trace_0.txt.csv,QAOCS,2.27,0.99,18.38,97.31267623309539,2.53,3648.141162690354,2.20,5.41,0.31,89.76
fcc18_trace_3.txt.csv,QAOCS,2.17,0.63,14.44,97.15920924028464,3.53,2410.9638138106616,1.08,1.08,0.27,58.64
lab_trace_10.txt.csv,QAOCS,2.25,1.69,52.31,97.73830496295197,1.92,6199.70461583404,1.11,0.10,0.03,152.42
oboe_trace_3.txt.csv,QAOCS,2.28,0.99,17.67,98.13346377633385,1.55,3355.4460313039854,1.12,0.20,0.21,88.09
fcc18_trace_20.txt.csv,QAOCS,2.56,0.73,12.83,97.07272942105983,3.13,2135.7723916970135,2.53,0.67,0.15,57.50
oboe_trace_1.txt.csv,QAOCS,2.99,0.42,8.63,96.50446551829944,3.86,1307.8194885655741,11.59,29.65,0.30,29.28
lab_trace_16.txt.csv,QAOCS,2.24,1.65,52.76,98.37974646684333,1.31,6053.4192319772155,1.10,0.12,0.03,150.04
oboe_trace_4.txt.csv,QAOCS,2.15,0.94,18.62,97.76479781543954,2.34,3495.529995999533,1.06,0.11,0.20,88.26
hsr_trace_16.txt.csv,QAOCS,2.69,0.84,14.51,97.25646887627342,2.96,2859.346749193642,4.00,6.57,0.31,62.68
oboe_trace_16.txt.csv,QAOCS,2.62,0.37,7.80,97.36690924938928,2.97,1096.7591695611932,7.79,12.46,0.17,28.52
lab_trace_12.txt.csv,QAOCS,2.09,1.58,46.58,98.0807200960961,1.91,5812.233699556154,1.03,0.10,0.03,153.53
ghent_trace_7.txt.csv,QAOCS,2.30,1.60,50.59,98.18171523259052,1.82,5869.087390440727,1.11,0.10,0.03,144.34
fcc18_trace_8.txt.csv,QAOCS,2.31,1.77,48.61,98.08459470194904,1.82,6083.040611677941,1.15,0.09,0.03,154.41
ghent_trace_4.txt.csv,QAOCS,1.95,1.44,48.39,98.63106014986035,1.16,5726.401919905583,0.95,0.13,0.03,151.50
oboe_trace_2.txt.csv,QAOCS,2.17,0.67,16.14,97.54568593427788,2.48,2957.0995683745414,2.11,0.16,0.16,63.35
ghent_trace_17.txt.csv,QAOCS,1.94,1.48,51.04,98.42590662137609,1.38,6200.086367914901,0.96,0.09,0.03,153.66
hsr_trace_8.txt.csv,QAOCS,2.17,1.41,24.10,98.14738010571544,1.58,5113.536924841423,1.08,0.25,0.16,131.59
lab_trace_5.txt.csv,QAOCS,2.42,1.84,51.13,98.75963502326901,1.02,6489.481674576451,1.19,0.14,0.04,154.93
fcc18_trace_2.txt.csv,QAOCS,2.77,0.65,11.95,97.34495222515413,2.76,1842.6601036759544,5.48,6.10,0.25,47.14
ghent_trace_14.txt.csv,QAOCS,2.31,1.65,50.89,98.47569930848994,1.36,5481.324250428707,1.14,0.13,0.03,145.52
lumos5g_trace_11.txt.csv,QAOCS,2.36,1.36,53.69,97.94434174287018,2.14,5501.686129487489,1.16,0.08,0.03,116.79
lumos5g_trace_16.txt.csv,QAOCS,2.42,1.73,52.54,98.16057230362968,1.75,6197.999311913277,1.19,0.08,0.04,145.35
oboe_trace_18.txt.csv,QAOCS,2.31,0.85,15.63,97.9315265969223,2.00,2732.9353763256213,1.14,0.90,0.28,74.75
HSDPA_trace_7.csv,QAOCS,3.22,0.39,6.22,95.83156835548891,4.24,1061.7540485675518,32.81,79.05,0.14,24.86
HSDPA_trace_12.csv,QAOCS,3.85,0.57,7.58,94.83087489298325,6.80,1119.137585630133,24.53,81.80,0.21,30.18
oboe_trace_10.txt.csv,QAOCS,2.40,0.94,17.03,97.0986719256595,2.84,3036.6606437241344,1.19,0.11,0.24,79.18
HSDPA_trace_9.csv,QAOCS,3.02,0.59,9.56,96.47446705585156,4.90,1735.825892973148,17.91,77.08,0.16,39.75
hsr_trace_4.txt.csv,QAOCS,3.11,0.89,14.04,97.53202818569794,3.37,2586.431242583208,6.15,13.21,0.28,57.95
HSDPA_trace_8.csv,QAOCS,3.00,0.43,6.48,95.62466646180681,3.20,1206.1167226018695,26.87,100.06,0.24,28.93
ghent_trace_10.txt.csv,QAOCS,2.22,1.67,51.82,98.5743922529627,1.71,6241.652852735514,1.10,0.28,0.03,151.98
HSDPA_trace_13.csv,QAOCS,2.66,0.55,10.80,96.58193101078695,3.63,1671.5214298504707,5.26,6.05,0.24,41.78
