File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
oboe_trace_15.txt.csv,QAOCS,2.26,0.93,14.37,98.3269216160026,1.13,3065.375241157872,1.41,0.15,0.20,66.25
lumos5g_trace_5.txt.csv,QAOCS,2.52,2.23,49.66,98.21383703562957,1.21,7259.254505437553,1.54,0.08,0.05,145.00
fcc18_trace_6.txt.csv,QAOCS,1.93,1.62,37.45,99.1202377206403,0.65,7116.788270605736,1.18,0.09,0.04,137.84
fcc18_trace_12.txt.csv,QAOCS,2.43,1.04,16.45,98.32666806100472,1.50,3394.9419323998823,1.52,0.12,0.27,68.53
hsr_trace_13.txt.csv,QAOCS,2.73,0.49,6.57,97.03932470995503,3.93,1592.051871356852,15.25,13.25,0.25,29.04
oboe_trace_20.txt.csv,QAOCS,3.29,0.60,6.71,96.93127527520457,3.25,1460.0780900079167,16.33,19.85,0.20,29.58
lab_trace_20.txt.csv,QAOCS,2.00,1.85,49.04,98.74695044582818,1.05,7831.580754788156,1.23,0.10,0.04,149.60
lab_trace_14.txt.csv,QAOCS,2.18,1.94,46.81,98.78587807291161,0.98,7456.556387801492,1.33,0.11,0.04,145.13
lab_trace_3.txt.csv,QAOCS,2.28,2.11,47.10,98.79935211785241,0.81,7160.713852490757,1.39,0.12,0.04,151.60
HSDPA_trace_3.csv,QAOCS,3.88,0.57,5.80,95.44217813249128,6.64,1334.6841707995682,52.38,146.07,0.33,24.04
ghent_trace_6.txt.csv,QAOCS,2.19,1.79,43.18,98.43328373440676,1.37,6898.968686557934,1.35,0.10,0.04,132.59
ghent_trace_12.txt.csv,QAOCS,2.14,1.82,47.37,98.84045931808235,1.09,6748.896138005003,1.33,0.18,0.04,136.70
HSDPA_trace_19.csv,QAOCS,3.02,0.45,5.43,97.94031352403815,2.23,1247.7666970098076,25.93,40.04,0.19,24.34
oboe_trace_0.txt.csv,QAOCS,2.37,0.63,10.46,97.74946674279226,2.52,2068.0122528289266,2.90,1.25,0.25,43.42
lab_trace_18.txt.csv,QAOCS,2.03,1.81,49.64,98.47272325417383,1.20,7519.903434795016,1.27,0.08,0.04,142.83
fcc18_trace_10.txt.csv,QAOCS,3.42,0.78,8.70,97.94676939258952,1.61,1752.533196087977,17.02,34.31,0.40,36.57
ghent_trace_20.txt.csv,QAOCS,1.86,1.57,47.51,98.60373082725977,1.00,6753.501660746937,1.15,0.08,0.03,136.80
hsr_trace_7.txt.csv,QAOCS,2.24,1.96,30.28,98.80891642660227,0.87,6889.200576024054,1.37,0.13,0.04,143.02
fcc18_trace_5.txt.csv,QAOCS,2.30,1.58,19.79,97.96238488938607,1.98,4975.119428730938,1.43,0.09,0.24,110.48
hsr_trace_15.txt.csv,QAOCS,2.46,2.08,26.41,98.49662331824062,1.35,7358.663004235816,1.49,0.13,0.10,139.65
