File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
fcc18_trace_0.txt.csv,Constant-4,4.86,0.72,46.25,79.2325718562419,4.53,1201.31658264839,6.06,4.29,0.42,23.77
fcc18_trace_0.txt.csv,GOP-4,3.92,0.96,26.03,89.2710268076109,2.68,1929.57541831648,7.32,2.86,0.2,39.52
fcc18_trace_0.txt.csv,Segue,2.4,0.58,27.36,90.052564953024,3.06,2021.53428749046,4.48,2.86,0.25,38.96
fcc18_trace_1.txt.csv,Constant-4,4.86,0.73,49.44,79.5186195411839,4.58,1219.77276992052,6.06,2.33,0.52,24.1
fcc18_trace_1.txt.csv,GOP-4,3.92,1.6,31.91,93.344352960084,1.78,3208.09870942436,7.32,1.61,0.27,65.73
fcc18_trace_1.txt.csv,Segue,2.4,0.99,33.21,94.8452694241027,1.62,3414.91823880443,4.48,1.61,0.25,66.16
fcc18_trace_10.txt.csv,Constant-4,4.86,0.72,33.18,79.2325718562419,4.53,1201.31658264839,6.06,6.68,0.42,23.77
fcc18_trace_10.txt.csv,GOP-4,3.92,0.68,20.61,83.619378906487,2.41,1354.39403418739,7.32,4.36,0.24,27.74
fcc18_trace_10.txt.csv,Segue,2.4,0.4,22.13,84.2166424039046,2.98,1352.2437993612,4.48,4.37,0.27,26.65
fcc18_trace_11.txt.csv,Constant-4,4.86,0.74,50.44,79.9227006706605,4.63,1230.53875330847,6.06,0.99,0.52,24.31
fcc18_trace_11.txt.csv,GOP-4,3.92,2.08,47.71,94.1439460725388,1.71,4164.3719919682,7.32,0.77,0.12,85.35
fcc18_trace_11.txt.csv,Segue,2.4,1.27,49.98,95.6769349931622,1.67,4569.49374769804,4.48,0.77,0.07,85.13
fcc18_trace_12.txt.csv,Constant-4,4.86,0.73,48.47,79.5186195411839,4.58,1219.77276992052,6.06,2.98,0.52,24.1
fcc18_trace_12.txt.csv,GOP-4,3.92,1.31,30.51,92.5849859515611,1.78,2624.18225737163,7.32,2.03,0.27,53.76
fcc18_trace_12.txt.csv,Segue,2.4,0.8,30.2,93.9757198373247,2.17,2765.76902930373,4.48,2.03,0.28,53.51
fcc18_trace_13.txt.csv,Constant-4,4.86,0.74,49.7,79.9227006706605,4.63,1230.53875330847,6.06,1.96,0.52,24.31
fcc18_trace_13.txt.csv,GOP-4,3.92,2.06,34.16,94.0538530623762,1.73,4120.376157493,7.32,1.38,0.12,84.45
fcc18_trace_13.txt.csv,Segue,2.4,1.24,34.73,95.4190307610881,1.53,4435.28165911665,4.48,1.38,0.1,83.41
fcc18_trace_14.txt.csv,Constant-4,4.86,0.72,36.42,79.2325718562419,4.53,1201.31658264839,6.06,6.1,0.42,23.77
fcc18_trace_14.txt.csv,GOP-4,3.92,0.71,21.07,84.0434433673225,2.09,1425.5627244047,7.32,3.92,0.15,29.2
fcc18_trace_14.txt.csv,Segue,2.4,0.41,22.59,84.720908730988,3.61,1411.22309920442,4.48,3.92,0.28,27.79
fcc18_trace_15.txt.csv,Constant-4,4.86,0.74,50.36,79.9227006706605,4.63,1230.53875330847,6.06,1.15,0.52,24.31
fcc18_trace_15.txt.csv,GOP-4,3.92,2.08,45.86,94.1439460725388,1.71,4164.3719919682,7.32,0.87,0.12,85.35
fcc18_trace_15.txt.csv,Segue,2.4,1.27,47.8,95.6769349931622,1.67,4569.49374769804,4.48,0.87,0.07,85.13
fcc18_trace_16.txt.csv,Constant-4,4.86,0.73,48.91,79.5186195411839,4.58,1219.77276992052,6.06,3.02,0.52,24.1
fcc18_trace_16.txt.csv,GOP-4,3.92,1.4,30.29,92.9413305143643,1.82,2796.33863749027,7.32,2.05,0.22,57.31
fcc18_trace_16.txt.csv,Segue,2.4,0.81,30.39,93.6480310556315,2.3,2802.4987056746,4.48,2.06,0.28,54.11
fcc18_trace_17.txt.csv,Constant-4,4.86,0.74,50.35,79.9227006706605,4.63,1230.53875330847,6.06,1.13,0.52,24.31
fcc18_trace_17.txt.csv,GOP-4,3.92,2.08,47.31,94.1439460725388,1.71,4164.3719919682,7.32,0.85,0.12,85.35
fcc18_trace_17.txt.csv,Segue,2.4,1.27,49.51,95.6769349931622,1.67,4569.49374769804,4.48,0.85,0.07,85.13
fcc18_trace_18.txt.csv,Constant-4,4.86,0.74,48.49,79.9227006706605,4.63,1230.53875330847,6.06,1.87,0.52,24.31
fcc18_trace_18.txt.csv,GOP-4,3.92,1.74,33.25,93.3868860661509,1.87,3474.59067196595,7.32,1.33,0.22,71.21
fcc18_trace_18.txt.csv,Segue,2.4,1.07,34.39,94.959819303288,1.65,3786.50198804822,4.48,1.33,0.19,71.68
fcc18_trace_19.txt.csv,Constant-4,4.86,0.5,26.18,77.3915662413688,5.05,832.547671478381,6.06,8.58,0.36,16.36
fcc18_trace_19.txt.csv,GOP-4,3.92,0.47,15.26,81.0192124313213,2.58,933.060991394219,12.2,11.62,0.17,19.11
fcc18_trace_19.txt.csv,Segue,2.4,0.28,13.67,81.5254875350115,3.16,943.533969455267,7.46,8.29,0.1,18.49
fcc18_trace_2.txt.csv,Constant-4,4.86,0.48,25.02,78.1110636948809,4.67,797.674443356122,6.06,13.77,0.42,15.87
fcc18_trace_2.txt.csv,GOP-4,3.92,0.43,12.69,80.4613126287832,2.7,851.576190780875,7.32,8.8,0.12,17.44
fcc18_trace_2.txt.csv,Segue,2.4,0.26,11.55,81.1913504883934,3.48,900.041902303841,4.48,8.81,0.09,17.49
fcc18_trace_20.txt.csv,Constant-4,4.86,0.72,47.42,79.4632995662277,4.48,1207.43296773822,6.06,5.99,0.48,23.9
fcc18_trace_20.txt.csv,GOP-4,3.92,0.99,26.48,89.8959688950092,2.66,1985.96498014469,7.32,4.24,0.24,40.68
fcc18_trace_20.txt.csv,Segue,2.4,0.6,26.32,89.7934870637363,3.14,2094.29449177756,4.48,4.24,0.31,40.14
fcc18_trace_3.txt.csv,Constant-4,4.86,0.72,47.22,79.4632995662277,4.48,1207.43296773822,6.06,3.94,0.48,23.9
fcc18_trace_3.txt.csv,GOP-4,3.92,1.01,26.66,90.0059053265867,2.75,2019.94759794089,7.32,2.64,0.22,41.38
fcc18_trace_3.txt.csv,Segue,2.4,0.59,27.39,88.7894418280356,3.42,2030.71209694947,4.48,2.64,0.33,39.37
fcc18_trace_4.txt.csv,Constant-4,4.86,0.72,43.97,79.2325718562419,4.53,1201.31658264839,6.06,5.16,0.42,23.77
fcc18_trace_4.txt.csv,GOP-4,3.92,0.85,25.14,86.5047385162431,2.23,1693.32558925575,7.32,3.41,0.15,34.7
fcc18_trace_4.txt.csv,Segue,2.4,0.5,24.83,86.9766618216726,2.9,1749.56705151335,4.48,3.41,0.16,33.56
fcc18_trace_5.txt.csv,Constant-4,4.86,0.73,49.79,79.5186195411839,4.58,1219.77276992052,6.06,1.98,0.52,24.1
fcc18_trace_5.txt.csv,GOP-4,3.92,1.85,34.31,93.6954345519232,1.81,3701.92002247293,7.32,1.39,0.17,75.87
fcc18_trace_5.txt.csv,Segue,2.4,1.11,35.39,95.0146869977319,1.65,3965.65542422458,4.48,1.4,0.1,74.7
fcc18_trace_6.txt.csv,Constant-4,4.86,0.74,50.47,79.9227006706605,4.63,1230.53875330847,6.06,0.98,0.52,24.31
fcc18_trace_6.txt.csv,GOP-4,3.92,2.08,47.94,94.1439460725388,1.71,4164.3719919682,7.32,0.76,0.12,85.35
fcc18_trace_6.txt.csv,Segue,2.4,1.27,50.24,95.6769349931622,1.67,4569.49374769804,4.48,0.76,0.07,85.13
